,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2044-2050', 'ave')","('2044-2050', 'max')","('2044-2050', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')","('2082-2088', 'ave')","('2082-2088', 'max')","('2082-2088', 'min')","('2088-2094', 'ave')","('2088-2094', 'max')","('2088-2094', 'min')","('2094-2101', 'ave')","('2094-2101', 'max')","('2094-2101', 'min')"
AT onwind,0.32365964085928395,0.974977757936,0.00808397377557,0.33188639679556425,0.963162501724,0.011759610642,0.33073182401883516,0.98394366584,0.00963525041971,0.3069660262332119,0.967792633741,0.00588293955232,0.3323068888261757,0.964864506292,0.00987141943723,0.31757797358278284,0.975001562365,0.0118729777189,0.3276608921961652,0.97465700434,0.0117221710177,0.3351447590013559,0.965821474482,0.00925398471019,0.31977787141967184,0.965975094229,0.0102008112369,0.3282032342401775,0.969707295498,0.0101090863055,0.3283320436660998,0.972117765941,0.00695985825191,0.3366981451038105,0.968661377502,0.00885776428327,0.34209859689769795,0.973239240548,0.00960560372895,0.32872129330858163,0.968282092315,0.00922201700277,0.3349854477936969,0.974763430418,0.00885665869845,0.3224548453342403,0.981016884909,0.00629695448203,0.31780729585268436,0.967279349802,0.00985388969989,0.3207639567736335,0.979462792108,0.00914603416941,0.3304563349042688,0.984162058511,0.0105782938515,0.3272191214895213,0.971740679897,0.0087640567507,0.32125969858561443,0.975075777294,0.00600653888624
AT solar,0.1339800971225291,0.791116259927,0.0,0.13355783161132007,0.8232913037,0.0,0.13538671051183498,0.768552891427,0.0,0.1355597748978938,0.78316588039,0.0,0.13410938058995486,0.79358845106,0.0,0.13249689718146218,0.787406216301,0.0,0.13333933627337421,0.782553315168,0.0,0.13250070276041392,0.779118850847,0.0,0.13538679951292482,0.819427625788,0.0,0.13138133253639406,0.786839967798,0.0,0.13116864870432096,0.742379087557,0.0,0.13100508555388254,0.773116443916,0.0,0.12802097780812577,0.758182431228,0.0,0.12871192458553965,0.727751989866,0.0,0.12782792500629545,0.750012517317,0.0,0.1279540487291708,0.716023959829,0.0,0.12639493574628355,0.726916853388,0.0,0.12614723714758308,0.736092789724,0.0,0.12448576051779373,0.72575437215,0.0,0.12650452493003445,0.731491586997,0.0,0.12408587236962516,0.722727159669,0.0
AT ror,0.5903108695227206,1.0,0.00078947488355,0.5866180089598144,1.0,0.00111562794257,0.5750754303366308,1.0,0.000678297541513,0.5665451208520214,1.0,0.000497082837578,0.5838915171873464,1.0,0.000715288648371,0.5874078778013627,1.0,0.000719578657425,0.5623405978305502,1.0,0.000618093497301,0.5894655876047031,1.0,0.00101211325796,0.5679224262459799,1.0,0.000510700465353,0.5946469473821031,1.0,0.000759939427091,0.6349265968310073,1.0,0.00127659031532,0.6406665750944786,1.0,0.000771423425126,0.6658715390670155,1.0,0.000871368653963,0.6336368277419858,1.0,0.000390773908825,0.6488805732491955,1.0,0.00153298314804,0.6580206806791724,1.0,0.000609364633918,0.6648539968287487,1.0,0.00066979294351,0.654652688211473,1.0,0.000397128782014,0.6998550409418005,1.0,0.00111753774758,0.6674996113476818,1.0,0.00127193093663,0.6946077928314164,1.0,0.000836525405039
BA onwind,0.2954726177915147,0.987303644065,0.00632125241976,0.2987929557068342,0.977015019614,0.00469814786083,0.30958020145561405,0.97658941718,0.00393595867396,0.2898986629764389,0.985625684037,0.00460843903458,0.30658755891045536,0.980275633457,0.00723955052445,0.30950905432912196,0.975908806969,0.0067872411802,0.31822989553437947,0.979570767984,0.00671722376423,0.31337242977558455,0.976854389374,0.00498700117645,0.3088020947788889,0.970952644526,0.00455851144391,0.3019144568219848,0.983853261529,0.00430478254257,0.30805011417117334,0.981154047812,0.00608967146453,0.3003495115066148,0.982336413599,0.00418527896848,0.2995429103671062,0.978584330957,0.0061475628607,0.30244447308253714,0.987190946957,0.00534010706469,0.3086760371535096,0.980662029848,0.00533491854867,0.2997716148187024,0.981028404388,0.00470592180502,0.3024015899396876,0.983223382787,0.00465534457858,0.292160867859173,0.969749390047,0.00650830233173,0.296817874688168,0.981998181908,0.00485106100025,0.30045942190360797,0.980952883389,0.00467284391691,0.284978988135895,0.985833087868,0.00437980006523
BA offwind,0.24637855900453395,0.999919875691,0.00166053478864,0.24554255434936986,0.999755044011,0.00171418041924,0.24940030467692065,0.999639186309,0.00173073500402,0.23251391373693864,0.999886248964,0.0016499594837,0.2586247971397395,0.999644878551,0.00161649375601,0.2574288796973606,0.999823857387,0.00167391444372,0.26488182407717115,0.999695359849,0.00164160662519,0.2554706305816977,0.999848579637,0.00164185520814,0.2509531842914156,0.999814107861,0.00169982767338,0.2459938131285697,0.99973724694,0.00167417059428,0.25181654907754203,0.999804409322,0.0016636039878,0.2493828302355913,0.9997251452,0.00164519983389,0.24088290314441255,0.999928615375,0.00164858314574,0.24643704578428724,0.999855387031,0.00163446323192,0.2577037973890916,0.999843187431,0.00166719520898,0.2509066875503794,0.999845676174,0.00166229597845,0.25497123749299777,0.999948976389,0.00170552621798,0.23946213798287677,0.999867915344,0.00161102261673,0.23979483218187816,0.999833366126,0.00171066198041,0.2515997105272839,0.999603902544,0.00170677087555,0.236604385098314,0.999790719589,0.00168999341006
BA solar,0.13167987991095753,0.744094544764,0.0,0.13130795412544796,0.800266829439,0.0,0.13319345824095935,0.794928721888,0.0,0.13146671035067786,0.758429610573,0.0,0.13217114151241569,0.758887430679,0.0,0.12827497025666848,0.768603089689,0.0,0.128720356648524,0.755630950945,0.0,0.13051884369673952,0.763227452038,0.0,0.13423945908991328,0.810349141849,0.0,0.1304649867166089,0.776849843063,0.0,0.13051956500204667,0.742987978017,0.0,0.1299696167966751,0.750552876582,0.0,0.13020405689675585,0.773887749919,0.0,0.12795939529005745,0.720996589706,0.0,0.12920782314653242,0.733060075008,0.0,0.12850036360784015,0.726057668013,0.0,0.12831885751871738,0.715730443465,0.0,0.12824185123680332,0.74132948305,0.0,0.12751309216370935,0.712895707685,0.0,0.129181672521038,0.716134084421,0.0,0.12705817318027557,0.715115716944,0.0
BA ror,0.4848964076769659,1.0,0.000399817302825,0.5404768463990233,1.0,0.000764747009576,0.5061233823271943,1.0,0.000822035037199,0.5108193390184383,1.0,0.000618763474704,0.5159147457401114,1.0,0.000766664406821,0.6144931121730229,1.0,0.000826094108537,0.5865800901464526,1.0,0.00097507642194,0.525846077859674,1.0,0.000613306566946,0.46547451402683565,1.0,0.000705429625591,0.5218929678125575,1.0,0.0007899373013,0.5084036865064877,1.0,0.0004355038454,0.5338439819314368,1.0,0.000884408762629,0.5180254747625509,1.0,0.000818066840298,0.5252129939370341,1.0,0.000815021466286,0.480970848093321,1.0,0.000582621186786,0.5045936579091683,1.0,0.000387271245823,0.5025493919880047,1.0,0.00109932852568,0.49298333102270897,1.0,0.00104055429844,0.49388762396011304,1.0,0.000530560491913,0.45482352726335185,1.0,0.000810646925577,0.49327808942600965,1.0,0.000757306562043
BE onwind,0.286503565189115,0.99858921813,0.00262527539743,0.28505062359762645,0.998423839797,0.00270970443305,0.28297839341154,0.998138962902,0.00373086141152,0.2719995166494067,0.998933793622,0.00267378349663,0.277113934171418,0.998464422288,0.00302979455656,0.27603288099884404,0.998780188758,0.00326143720086,0.2600733569293039,0.998550179547,0.00295707405127,0.2827698811007263,0.998199190293,0.00350654986627,0.2804987145462808,0.998566015448,0.00288652895235,0.2868541608346643,0.998355237805,0.00280672097822,0.28138181676505275,0.998594273574,0.00353637804178,0.2910505555992095,0.998824824316,0.00244729514421,0.3047954415421648,0.998634026234,0.00315851460759,0.27249214032182867,0.998023387834,0.0026336938956,0.29262309397702624,0.998229572905,0.00326718326627,0.285030509202639,0.998653600036,0.00294632487097,0.2658337239653294,0.998300853815,0.00269434061389,0.2625953552716999,0.99866073037,0.0026931357395,0.2857346786267111,0.998792802599,0.00323690943328,0.28147556206900815,0.998171136211,0.00284248770489,0.2880314833862286,0.998585192941,0.00257136661312
BE offwind,0.4576634409796963,0.997699420083,0.00218332436399,0.4654388257732987,0.997645193664,0.00257619551829,0.45589311932251675,0.997522479257,0.00228451995611,0.43937825748099063,0.997580353728,0.00221511069861,0.4556859381004018,0.997787398086,0.00264617552541,0.46300784791667493,0.997829954212,0.00262723314141,0.4398348664474908,0.997839761399,0.0027572841741,0.45919104053414367,0.997558373205,9.86293822466e-05,0.45665427901475025,0.997465192036,0.00223095476286,0.4676698080933355,0.997875197119,0.00196362964772,0.46247436359267663,0.997357313168,0.00200049931395,0.4754262977781452,0.997595329247,0.00208266586934,0.48642413123021755,0.997332040288,0.00225047137634,0.45968769547917737,0.997691424348,0.00257847531332,0.48328009235042607,0.997290445037,0.00271696417513,0.4740839041914664,0.998107081406,0.00191955852094,0.45053776795108147,0.9977475174,0.00221611869399,0.44908097896130295,0.997712750955,0.00119401086744,0.47846429833306575,0.997534283859,0.00272464094864,0.4626792266509251,0.997541212433,0.00220322835063,0.4702530164705088,0.997402679799,0.00242209900212
BE solar,0.10100834110384971,0.666954068256,0.0,0.09887304857436992,0.684015122815,0.0,0.10262804481573132,0.660822145368,0.0,0.10083523230296565,0.666172361225,0.0,0.10175178779122103,0.721717418476,0.0,0.10307760214225932,0.706795311449,0.0,0.1026704053405969,0.674591725774,0.0,0.1002408786649571,0.713071028132,0.0,0.10009323105505567,0.729099088718,0.0,0.09992576345181844,0.668023747655,0.0,0.09923800064087292,0.66072435537,0.0,0.0974577553588399,0.658123648851,0.0,0.09573641666332544,0.683899234963,0.0,0.09992708777060434,0.662002272994,0.0,0.09410547211021582,0.653586289593,0.0,0.09721098082710311,0.646806013021,0.0,0.0980467131183076,0.643026329659,0.0,0.09651237102327061,0.643998441553,0.0,0.09549908786634435,0.646022559409,0.0,0.095930575388818,0.639901760591,0.0,0.09349254142256529,0.639411745957,0.0
