,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')"
AT onwind,0.3345265859577745,0.97643085282,0.0116335939151,0.34600636194384143,0.977025678663,0.0100148294017,0.32160623069326644,0.962729596744,0.0110469117798,0.3371123630174863,0.963549443316,0.0133705642772,,,,0.3318428509155554,0.97162840166,0.00823432592565,0.32939917699179555,0.968500214049,0.0101614511643,0.31457499186553495,0.979655330172,0.0090622182662,0.3258235487381059,0.970373806886,0.00762062258761,0.3342482160295281,0.972705516757,0.00840220401376,0.31395077565842305,0.976715600976,0.0099258812909,0.3391565605906055,0.977605372448,0.00746917980351,0.3159354862434326,0.974598115456,0.0101379805143,0.3173520420709335,0.967980926066,0.00911469676586,0.31133961655473813,0.976323058015,0.00902818123904,0.3167834481472362,0.964872588959,0.00922161676342,0.3183389170368005,0.968142601911,0.00885098215468
AT solar,0.13698832522357565,0.759282401874,0.0,0.13462109862766966,0.760915284897,0.0,0.1379564826226848,0.785018697504,0.0,0.13526175524091277,0.793490773837,0.0,,,,0.1337255912201356,0.757791822342,0.0,0.13378783533342906,0.759903989119,0.0,0.1327532890267079,0.806390001721,0.0,0.1324409522560381,0.74232415844,0.0,0.13176876473475524,0.764725619978,0.0,0.13212343089602754,0.773255453256,0.0,0.13078258826742875,0.745216917541,0.0,0.13004717224917017,0.743369737155,0.0,0.1285676102815358,0.7296196959,0.0,0.1296823904454525,0.78396601443,0.0,0.1289814971849734,0.744538393842,0.0,0.12762577786856355,0.732170360727,0.0
AT ror,0.5583243908866027,1.0,0.00090659480693,0.5858553869677777,1.0,0.00114609882029,0.5335662508032767,1.0,0.0005068747003,0.5918171494281024,1.0,0.00090047758792,,,,0.5930930328004782,1.0,0.00088354056529,0.59266890562905,1.0,0.00097598147257,0.6012476064852206,1.0,0.00116246920943,0.5842759767270707,1.0,0.00146624169692,0.6017942335322451,1.0,0.00152180410202,0.5941127099999579,1.0,0.00101044697495,0.6374762557066366,1.0,0.00148848045935,0.6497893445062793,1.0,0.000629899348889,0.6510839204176925,1.0,0.00117018647986,0.6470983656902328,1.0,0.000934040349107,0.5991930274137356,1.0,0.00152731947524,0.6752973979262001,1.0,0.00092585784229
BA onwind,0.2916543691865683,0.980089308951,0.00470030702482,0.30251001936262956,0.98112565236,0.00424151498243,0.28078870689862817,0.97594194282,0.00596141748028,0.29938991800117415,0.981283930858,0.00457857675176,,,,0.2862605820031731,0.98549608801,0.00723896215706,0.2821836180581763,0.982795410084,0.00501019406786,0.2750127402102374,0.979613478945,0.00467201468214,0.292617698633769,0.97129123709,0.00465876153685,0.2878563044015876,0.979232027453,0.00357110869355,0.2770929423444218,0.963609868682,0.00558746461948,0.2964173234751639,0.980933767343,0.00509997360573,0.27778123036127883,0.976958935625,0.00413807593026,0.26591954404271956,0.977399656406,0.00536306363511,0.28172352330362777,0.969201793197,0.00438128866879,0.27656063552280324,0.970228623075,0.0060500524925,0.2873422161894286,0.968064217605,0.00606762868439
BA offwind,0.24215463734140985,0.999836902877,0.000183798260496,0.24402895241397782,0.999600402482,0.00169453413585,0.2346173029554815,0.999819245969,0.00168608545074,0.24164772743059698,0.999663880156,0.00176239719386,,,,0.23521495136813572,0.999719942747,0.00168419842773,0.22720837650686984,0.999890765046,0.001700512309,0.22719358848665505,0.999662703462,0.00163180367644,0.24214120444235074,0.999798111324,0.00176223307118,0.2395387466025273,0.999543601857,0.00167570445472,0.2324988140120198,0.999751831546,0.0015489138265,0.23362358587328666,0.999833477623,0.00168233266962,0.2312737659058445,0.999571901882,0.00174570315688,0.22018494297467295,0.999677572168,0.00181117329799,0.2358778796254524,0.999749876312,0.00164538275094,0.2340187221923067,0.999737381115,0.00170314052712,0.2449021985587466,0.999649359656,0.00166056466644
BA solar,0.13676318721618608,0.788239026918,0.0,0.1339237563666924,0.772605727788,0.0,0.13586984152555975,0.779436102063,0.0,0.13272909522325607,0.80045087946,0.0,,,,0.13339918914077856,0.785328309205,0.0,0.13379372469637124,0.749630799843,0.0,0.13122275522014487,0.750048868877,0.0,0.13252100997494368,0.74138198134,0.0,0.13226632508739783,0.796920747572,0.0,0.13193526589431093,0.765030545263,0.0,0.13264173190222156,0.740168841285,0.0,0.13339977246252424,0.762980718427,0.0,0.1319404748529894,0.739127845282,0.0,0.13170535217347198,0.736622322642,0.0,0.13060300898920837,0.730145056458,0.0,0.1307970027128409,0.738327149652,0.0
BA ror,0.4632548013279854,1.0,0.0,0.5477815004694914,1.0,0.000734169513294,0.4836578470763875,1.0,0.000873100281176,0.5496860509098153,1.0,0.00107471093933,,,,0.5194670507253011,1.0,0.00142796629236,0.488959723709267,1.0,0.000909136165822,0.5566441938669416,1.0,0.0012436700713,0.5512247222426802,1.0,0.000964623164654,0.5142260887875498,1.0,0.000786104349465,0.5290425481466233,1.0,0.00112028022426,0.4843361758158104,1.0,0.000905198130161,0.4748602700255026,1.0,0.000636941158044,0.5029392954393177,1.0,0.000488398626121,0.4870173646755777,1.0,0.000916487232235,0.48386657570541586,1.0,0.000633047215044,0.46790862570590097,1.0,0.000696041786193
BE onwind,0.299891627206305,0.998921842097,0.00303507858958,0.3177328262211325,0.998910276739,0.00235976736741,0.2980968574566986,0.998673250089,0.00239011503894,0.2962456633443458,0.998581210787,0.00291765783098,,,,0.30693086997853314,0.998818054105,0.00329271850888,0.3090515432329114,0.998741934968,0.00313161820049,0.2825104603829169,0.998757299035,0.00238271143914,0.3001909869393155,0.998738842952,0.00291705887446,0.294970452186206,0.998796539986,0.00372944221806,0.2916145169221732,0.998519063725,0.00240796108967,0.3142935276622978,0.998858557634,0.00268469412375,0.30088799628200485,0.998777936071,0.00277379568004,0.29360326006439014,0.998817307673,0.00283989659254,0.2614400159167887,0.999001214008,0.00278078285413,0.2777036829543277,0.998758984035,0.00383555679529,0.2908837400890699,0.998878410288,0.00250559936556
BE offwind,0.48663275283092283,0.997663690055,0.00204689660691,0.49834376377445055,0.997595644996,0.00220998574796,0.48812756304608224,0.997959383539,0.00195222840948,0.483222180323158,0.997489474405,0.00123087435585,,,,0.49717254248669274,0.997782390141,0.00233365528554,0.5119285964754853,0.99772278064,0.00273200959539,0.47555707538316616,0.998008759204,0.00246707518685,0.48792977024171097,0.997821065688,0.00205113976204,0.4820575196010143,0.99810898438,0.00275466697565,0.48238739137462033,0.998203720608,0.00191235840611,0.5032284021096906,0.997885926395,0.00244512505235,0.48398268963890545,0.99773544802,0.00196435488958,0.4790927545822438,0.997244074174,0.00254869174374,0.44391839463854865,0.997872029719,0.00226853163695,0.4631032462891848,0.997683039064,0.00255585210419,0.4768440390038826,0.99761816549,0.00245437959854
BE solar,0.10142678834112066,0.672447889927,0.0,0.09963783948233476,0.675287742463,0.0,0.1034235063823792,0.6888555768,0.0,0.10212173202030712,0.684728197433,0.0,,,,0.09881039113561484,0.650687763363,0.0,0.09845082403334661,0.653156449838,0.0,0.10271523597112385,0.69208956685,0.0,0.09971600198903098,0.686934301203,0.0,0.09868080168094746,0.648538363054,0.0,0.09987827656011032,0.68435077899,0.0,0.0945413680835787,0.638849727808,0.0,0.10089742447290025,0.649975495925,0.0,0.09963391501962555,0.64325953437,0.0,0.1030790747438954,0.664312773328,0.0,0.10128740393185869,0.65266756871,0.0,0.10013122286755057,0.643548012282,0.0
BE ror,0.08156745916561949,0.678317216905,7.83623607337e-05,0.08333014931560033,0.641476568214,0.000121425195472,0.07400000016318374,0.590802251943,7.1378924973e-05,0.07551179246091748,0.484045117265,0.000132767415212,,,,0.08944738930232823,0.685134749127,0.000150769557943,0.07834460732439377,0.763909589572,0.00011292464747,0.07014470870458323,0.68010650366,0.000107407158064,0.08422464972857058,0.623027265051,0.00011534829223,0.07861130574875819,0.889475366668,7.6235827571e-05,0.07758390005383571,0.526062527137,0.000138326619152,0.0975809776506711,0.692028210812,0.000153099981603,0.07198894654068959,0.898597601116,8.20068111862e-05,0.07693675687174084,0.898410800996,8.04218858635e-05,0.06109005952257408,0.661745992173,9.19182086014e-05,0.06478626742986526,0.706991706436,0.000106696081527,0.07018875783815019,0.550915940372,9.87629984135e-05
BG onwind,0.21004737557752207,0.967743474876,0.00641236909013,0.21505038207824226,0.971791372666,0.00732009102648,0.21365326723084715,0.973418827617,0.00559295160515,0.2156068957240484,0.990443087188,0.00909216462929,,,,0.20621303801543156,0.977218534853,0.00707564427546,0.20960734995088984,0.986945271042,0.0080480062805,0.21043457665045354,0.96917784512,0.00724142925948,0.22072953666687212,0.977535464158,0.00648437951477,0.21445557792605976,0.991442719532,0.00566024537629,0.2027851989615481,0.984079626919,0.00425729360777,0.2174548699806114,0.981296055881,0.00705471707832,0.20490046629650496,0.972779834806,0.00637632729591,0.20994194027361082,0.988647939432,0.00663154732661,0.21599599888232637,0.967271866198,0.00737356178989,0.20933809584419324,0.98782163798,0.00470089621728,0.21448604326898904,0.991048242888,0.00629487184847
