,"('1970-1976', 'ave')","('1970-1976', 'max')","('1970-1976', 'min')","('1976-1982', 'ave')","('1976-1982', 'max')","('1976-1982', 'min')","('1982-1988', 'ave')","('1982-1988', 'max')","('1982-1988', 'min')","('1988-1994', 'ave')","('1988-1994', 'max')","('1988-1994', 'min')","('1994-2000', 'ave')","('1994-2000', 'max')","('1994-2000', 'min')","('2000-2006', 'ave')","('2000-2006', 'max')","('2000-2006', 'min')","('2006-2012', 'ave')","('2006-2012', 'max')","('2006-2012', 'min')","('2012-2018', 'ave')","('2012-2018', 'max')","('2012-2018', 'min')","('2018-2024', 'ave')","('2018-2024', 'max')","('2018-2024', 'min')","('2024-2030', 'ave')","('2024-2030', 'max')","('2024-2030', 'min')","('2030-2038', 'ave')","('2030-2038', 'max')","('2030-2038', 'min')","('2038-2044', 'ave')","('2038-2044', 'max')","('2038-2044', 'min')","('2044-2050', 'ave')","('2044-2050', 'max')","('2044-2050', 'min')","('2050-2056', 'ave')","('2050-2056', 'max')","('2050-2056', 'min')","('2056-2062', 'ave')","('2056-2062', 'max')","('2056-2062', 'min')","('2062-2070', 'ave')","('2062-2070', 'max')","('2062-2070', 'min')","('2070-2076', 'ave')","('2070-2076', 'max')","('2070-2076', 'min')","('2076-2082', 'ave')","('2076-2082', 'max')","('2076-2082', 'min')","('2082-2088', 'ave')","('2082-2088', 'max')","('2082-2088', 'min')","('2088-2094', 'ave')","('2088-2094', 'max')","('2088-2094', 'min')","('2094-2101', 'ave')","('2094-2101', 'max')","('2094-2101', 'min')"
AT onwind,0.3285275931366634,0.975024829677,0.0117319070583,0.3322816195693247,0.972709447215,0.00691155046354,0.33383946296912176,0.959623883252,0.0104037737496,0.3503267742012157,0.968492391801,0.00873141274663,0.3486188907252356,0.972937977217,0.0102024867258,0.3241510679439889,0.973264243119,0.00732732564183,0.3315291935269571,0.97025389165,0.00848268240732,0.3307612557296016,0.972554375792,0.00925098109898,0.32510466174623714,0.970269283313,0.00865422857515,0.32786501336518253,0.973400046927,0.00972443079191,,,,0.3388993860877341,0.959240727533,0.0100778582584,0.33098013291522577,0.975944060593,0.00889849895587,0.33548688608606153,0.980691927252,0.00796769163896,0.3274804726073438,0.973525954489,0.00626796413152,0.33195157637672845,0.975941925052,0.00848467754453,0.3310265417430991,0.969806180477,0.0096246512363,0.3350627999239451,0.97315820088,0.0101222631343,0.32699356778158445,0.96576892606,0.00645533603811,0.3222966354915112,0.963064226292,0.00605356004061,0.3468894168824798,0.976324383557,0.00964241317418
AT solar,0.13168235782088705,0.758994265572,0.0,0.1312144649080849,0.77410559161,0.0,0.1313107090648368,0.738344138798,0.0,0.12704337976601876,0.739524353126,0.0,0.12850970418983468,0.754401236763,0.0,0.13016610046133942,0.800236471774,0.0,0.128979151579399,0.742041134723,0.0,0.12800357728618986,0.731769291685,0.0,0.1306858603853024,0.747835630246,0.0,0.1267732317459039,0.743459613953,0.0,,,,0.12686703893941118,0.716106541013,0.0,0.1262075996095879,0.71650066046,0.0,0.12419641770145468,0.724369170281,0.0,0.12524580656538092,0.721334472738,0.0,0.12411662546725359,0.735121259658,0.0,0.12347246822978669,0.720764624992,0.0,0.12281814963903008,0.709460305914,0.0,0.12415702399615128,0.710149975127,0.0,0.1237827337569175,0.72211768219,0.0,0.12055232603273555,0.698302193327,0.0
AT ror,0.6148435608089251,1.0,0.000890627966621,0.6180603561159322,1.0,0.000740989570637,0.6090622619830726,1.0,0.000719082112173,0.6660946927537679,1.0,0.00130835192278,0.6633752573393349,1.0,0.00181220423,0.6179380117075166,1.0,0.000760317028989,0.6058700414834259,1.0,0.00118305046074,0.6685632181452449,1.0,0.000739052227668,0.6404891267647925,1.0,0.000785207954402,0.6687649426034878,1.0,0.0010766025808,,,,0.6706139144147873,1.0,0.00136433649724,0.6640314808092905,1.0,0.00101251671007,0.710299806532349,1.0,0.00162283822878,0.67902387053401,1.0,0.00143508423186,0.6789467992543556,1.0,0.00118631263475,0.7231395006704523,1.0,0.00174441500614,0.6760986853908832,1.0,0.00108812538171,0.6521217957293058,1.0,0.000792211659452,0.6566486138091687,1.0,0.00143601959783,0.7404207826186806,1.0,0.00195200075396
BA onwind,0.3106032217636165,0.973345347027,0.00551857202398,0.299178265509262,0.976027550092,0.00406424927115,0.30627341615126263,0.970691470479,0.00525452723794,0.29927996287334246,0.985801404183,0.00513810139634,0.316930168551514,0.984685543994,0.00598733526193,0.3043274459286045,0.992109501347,0.00480120525443,0.29663073621685815,0.978378731788,0.00404677505474,0.2949631464721701,0.985175222745,0.00484091097396,0.29147262927241646,0.979951504045,0.00546612010337,0.2902261413071125,0.972704604436,0.00472678111895,,,,0.30046439433107447,0.978270754558,0.00548650602925,0.30210574990775796,0.979969411384,0.00523476718601,0.30936245094023135,0.978071897783,0.00557788235233,0.3092965975927846,0.983988527732,0.00359958323547,0.30451784882858024,0.984516949467,0.00554433237084,0.30318035527638276,0.978187405476,0.00415850075917,0.307529287108319,0.979114406923,0.00586381972743,0.2949747989100527,0.972053386023,0.00361677390202,0.2930312748521511,0.982678389102,0.00673193719225,0.3191335064655755,0.970775323283,0.00591864857056
BA offwind,0.2580106781589072,0.999626695255,0.00169982968416,0.240076361616982,0.999681786611,0.00164974740287,0.25700892050358887,0.999796481786,0.00167007839725,0.24262301099548536,0.999755369271,0.00160645353759,0.25427798104837374,0.999783873406,0.00169244915095,0.25873319150944396,0.999794590678,0.00167172061081,0.25281700678861185,0.999812617143,0.00166933622233,0.24596723239309176,0.999562760861,0.00161232729215,0.2418917184455299,0.999890342318,0.00163654140638,0.23039529025678987,0.999768137546,0.00160717399605,,,,0.25295054332897754,0.999750851933,0.0016314029625,0.24570894541162977,0.999738682116,0.0016077941962,0.2566804593537059,0.999798464227,0.00166541284793,0.2660169864603121,0.999807764917,0.00174511269626,0.2560837197977601,0.99970640373,0.0017362488667,0.2587769501179588,0.999719449155,0.00159492020068,0.25871080063353646,0.999655001794,0.00165220879061,0.2482905419901483,0.999782632956,0.00171794264229,0.24585031537748883,0.999609741925,0.00158012464123,0.26590404247062804,0.999691139713,0.00166623617364
BA solar,0.1304532223687135,0.797762231726,0.0,0.13055605268356094,0.765897227455,0.0,0.13081691972946954,0.775194076069,0.0,0.1275959513281924,0.748326932223,0.0,0.1308119031173097,0.741989615799,0.0,0.1309185024616918,0.783495318495,0.0,0.13044239494644552,0.728083023176,0.0,0.1300794985219164,0.716138515029,0.0,0.13154881795545445,0.738700644882,0.0,0.12929682514942104,0.749616225077,0.0,,,,0.13111868658190548,0.73972684697,0.0,0.13041095125428048,0.731376826248,0.0,0.12861555827336996,0.726236949574,0.0,0.12903865956314894,0.715342524152,0.0,0.12837779229452784,0.727121567663,0.0,0.12861518902558713,0.702635860216,0.0,0.12749300397936922,0.700758806194,0.0,0.12999659866451127,0.705687843988,0.0,0.12976993717474175,0.682313123473,0.0,0.12691784172323936,0.71119759566,0.0
BA ror,0.5269394253912806,1.0,0.000655720982386,0.48385951105691,1.0,0.00109424206146,0.46970816765737816,1.0,0.00112274086521,0.5856400064220703,1.0,0.00148689621567,0.5068433404700043,1.0,0.000549892513115,0.5008847760590192,1.0,0.000983678443396,0.5142178381596104,1.0,0.00067163010705,0.49174348357583497,1.0,0.00105966898093,0.4912260534336362,1.0,0.00069671392887,0.4888516680340994,1.0,0.000880006781595,,,,0.4283262994408009,1.0,0.000527072520236,0.4508112747509833,1.0,0.000839241866909,0.4943244206436424,1.0,0.000646705997542,0.4475815125814287,1.0,0.000466505821041,0.46116467978219133,1.0,0.000542970858343,0.45973493186052033,1.0,0.000699917460605,0.46078868709779136,1.0,0.000332635220161,0.4133735392833331,1.0,0.000703058009241,0.43324803175694826,1.0,0.00070058794566,0.4579311298344532,1.0,0.000611089308379
BE onwind,0.2994553392601569,0.998310046669,0.00261499734295,0.28917613321841174,0.998004441483,0.00268356520658,0.299017837211157,0.999051596728,0.00239468625132,0.31184761677772993,0.998299942036,0.00322867634514,0.3114185548357056,0.998781102546,0.00254456829066,0.28839549351341376,0.999030663444,0.00265038430262,0.29870252334743014,0.998916929622,0.00339951920251,0.3051004650790061,0.998480231524,0.0032050558025,0.29531999925819813,0.998647190632,0.00330941150318,0.2921796568349142,0.99903546991,0.00266730316049,,,,0.3011613437715944,0.998726080539,0.00249035210551,0.2979794765439955,0.998435245386,0.00339479153809,0.30709165100708735,0.998532136185,0.00212024197037,0.2838752563587671,0.998567477208,0.00230220990369,0.30362081343108593,0.998771172167,0.00239559278921,0.3101144029192277,0.998998882995,0.00313416239553,0.30512526581453975,0.998832969309,0.00297978417595,0.30405268336077995,0.998921329477,0.00241943027889,0.3072648085430822,0.998989986726,0.00304683918566,0.31479741659333954,0.998669826276,0.00284725328615
BE offwind,0.4756296528962307,0.998030922832,0.00181339368783,0.47062467949600834,0.997976069312,0.002562900799,0.48351129267530807,0.997399702595,0.00206297162408,0.4908770870816858,0.997568439901,0.0023036661972,0.4941676235909222,0.997796276671,0.00210432191877,0.4675044744930868,0.997734197824,0.00244471247424,0.4868570171021379,0.998150096088,0.00233927968897,0.489290960056762,0.997626365674,0.00229378258033,0.48242221211131997,0.998009925868,0.00225593962786,0.47559148835342474,0.997264589613,0.00240158377422,,,,0.47451577810048284,0.997672753619,0.00209723507705,0.47869745995705276,0.997920373616,0.00269313331559,0.4798265986439409,0.997745248815,0.00257851320812,0.4599017030647726,0.99770298369,0.00223007761338,0.48582638784347365,0.997479624095,0.00213410847851,0.49156648426562594,0.997845218921,0.0026096259864,0.4705761116134337,0.997685360056,0.00204739242362,0.4854784395630865,0.998036599512,0.00208916832758,0.47972603662465785,0.99799309878,0.000366683562415,0.4896464134845717,0.99804720024,0.00182394899421
BE solar,0.09752140023247786,0.653822425875,0.0,0.09910777380271171,0.655032503048,0.0,0.09650771483704203,0.652008581493,0.0,0.09110814988547525,0.646845480515,0.0,0.0939707642350306,0.659605911114,0.0,0.09814620459092548,0.668533976818,0.0,0.09403861019296038,0.650059754163,0.0,0.09341268960091594,0.643330593637,0.0,0.09455163747874397,0.656640359548,0.0,0.0925691598533277,0.653988325886,0.0,,,,0.09186841123828475,0.650756205887,0.0,0.0920891300966906,0.646781355079,0.0,0.09111146135523167,0.653637066277,0.0,0.09390806993347611,0.638417101339,0.0,0.09111386809279672,0.642684652614,0.0,0.08991784998184155,0.643713917329,0.0,0.09069924244861918,0.638546765303,0.0,0.09318270485094136,0.643725389275,0.0,0.09230585431142926,0.647560077254,0.0,0.08781352495035663,0.634817869571,0.0
