bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,onwind,0.3236596408592827,0.3318863967955635,0.3307318240188352,0.3069660262332101,0.3323068888261749,0.31757797358278084,0.3276608921961623,0.33514475900135576,0.3197778714196741,0.32820323424017794,0.32833204366609897,0.33669814510381196,0.34209859689769573,0.3287212933085812,0.33498544779369516,0.32245484533423874,0.3178072958526847,0.320763956773634,0.3304563349042688,0.3272191214895201,0.32125969858561326
AT,ror,0.5903108695227219,0.586618008959817,0.575075430336633,0.5665451208520247,0.58389151718735,0.5874078778013648,0.5623405978305521,0.5894655876047047,0.5679224262459808,0.5946469473821037,0.6349265968310093,0.6406665750944777,0.6658715390670141,0.6336368277419843,0.6488805732491987,0.6580206806791733,0.664853996828749,0.6546526882114724,0.6998550409417992,0.6674996113476792,0.6946077928314146
AT,solar,0.13398009712252934,0.13355783161132032,0.1353867105118348,0.13555977489789373,0.13410938058995467,0.13249689718146224,0.1333393362733737,0.13250070276041406,0.13538679951292432,0.13138133253639456,0.13116864870432052,0.1310050855538825,0.1280209778081259,0.1287119245855399,0.1278279250062955,0.12795404872917068,0.12639493574628385,0.12614723714758336,0.12448576051779384,0.12650452493003403,0.12408587236962497
BA,offwind,0.2463785590045339,0.24554255434937122,0.2494003046769208,0.23251391373693844,0.25862479713973935,0.25742887969736017,0.26488182407717087,0.25547063058170033,0.2509531842914153,0.24599381312856974,0.25181654907754364,0.2493828302355916,0.24088290314441324,0.2464370457842871,0.2577037973890911,0.25090668755037754,0.25497123749299927,0.23946213798287688,0.23979483218187853,0.2515997105272859,0.2366043850983151
BA,onwind,0.2954726177915171,0.29879295570683423,0.3095802014556153,0.28989866297643946,0.3065875589104546,0.30950905432912296,0.3182298955343808,0.31337242977558455,0.3088020947788901,0.30191445682198453,0.3080501141711763,0.3003495115066161,0.29954291036710573,0.30244447308253797,0.30867603715350894,0.2997716148187031,0.30240158993968475,0.29216086785917433,0.29681787468816834,0.3004594219036096,0.28497898813589445
BA,ror,0.4848964076769662,0.5404768463990236,0.506123382327194,0.5108193390184379,0.5159147457401099,0.6144931121730244,0.5865800901464525,0.5258460778596725,0.46547451402683576,0.5218929678125587,0.5084036865064899,0.5338439819314361,0.5180254747625506,0.5252129939370311,0.4809708480933231,0.5045936579091695,0.5025493919880044,0.4929833310227094,0.4938876239601122,0.45482352726335196,0.49327808942600815
BA,solar,0.13167987991095748,0.13130795412544846,0.13319345824095866,0.13146671035067803,0.13217114151241596,0.1282749702566686,0.12872035664852424,0.13051884369673952,0.13423945908991328,0.1304649867166091,0.1305195650020465,0.1299696167966747,0.13020405689675532,0.1279593952900576,0.12920782314653265,0.12850036360784056,0.1283188575187177,0.12824185123680376,0.1275130921637092,0.12918167252103788,0.1270581731802758
BE,offwind,0.4576634409796935,0.46543882577329987,0.45589311932251503,0.4393782574809909,0.45568593810040375,0.4630078479166755,0.4398348664474879,0.4591910405341443,0.4566542790147517,0.46766980809333636,0.4624743635926726,0.47542629777814677,0.486424131230215,0.4596876954791751,0.48328009235042524,0.4740839041914662,0.4505377679510817,0.4490809789613039,0.47846429833306753,0.46267922665092726,0.4702530164705081
BE,onwind,0.2865035651891142,0.2850506235976254,0.2829783934115383,0.27199951664940697,0.27711393417141783,0.2760328809988445,0.2600733569293039,0.2827698811007268,0.28049871454628117,0.2868541608346642,0.2813818167650536,0.29105055559921056,0.304795441542165,0.27249214032182917,0.29262309397702546,0.28503050920263945,0.26583372396532956,0.26259535527170047,0.2857346786267106,0.28147556206900903,0.2880314833862287
BE,ror,0.0762884343192526,0.09080526809323906,0.08403350725122821,0.08093775920587391,0.07975271084874275,0.07594632738672202,0.07737011406821599,0.089489454702604,0.08635003804875961,0.0811115318821243,0.08751794959120415,0.09288133819869321,0.11208673312722044,0.07696965090464473,0.0978510321256347,0.09057929271221485,0.08527043479995447,0.08430144751543332,0.0906096270326692,0.09163606336799682,0.10307844831485392
BE,solar,0.10100834110384997,0.09887304857436978,0.10262804481573132,0.1008352323029657,0.10175178779122108,0.10307760214225939,0.10267040534059689,0.10024087866495711,0.10009323105505606,0.09992576345181818,0.09923800064087249,0.09745775535883915,0.09573641666332566,0.09992708777060456,0.09410547211021526,0.09721098082710306,0.09804671311830751,0.09651237102327066,0.09549908786634442,0.09593057538881815,0.09349254142256518
BG,offwind,0.31661786956709664,0.32015947892893704,0.3338160734276144,0.3350368019306304,0.3357747756121004,0.3303104550954572,0.3528243274565399,0.35491645146420936,0.3480063825779244,0.34248780624917885,0.3474519855710462,0.33178668056666577,0.34898224090371355,0.3449677556608281,0.32319475738864883,0.343165079738326,0.3429269538424485,0.34206772411773834,0.3436955651655589,0.33807173670861934,0.318782474824886
BG,onwind,0.20967318189718057,0.22526206300339438,0.22821048292143284,0.22026192820307305,0.22452839750616596,0.2233161062543761,0.23011936639464828,0.23343394743439208,0.22713375577047848,0.21913798097130793,0.22755104016485217,0.21234426336145962,0.22527620618131872,0.2240254820175928,0.214650513056431,0.2200018653383177,0.22685144398640106,0.21815958917265152,0.22129353432225257,0.21810578458192365,0.20442194556730348
