bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
AT,onwind,0.3345265859577747,0.34600636194384166,0.3216062306932686,0.33711236301748737,,0.3318428509155559,0.32939917699179316,0.31457499186553717,0.32582354873810665,0.3342482160295276,0.3139507756584234,0.3391565605906063,0.3159354862434331,0.3173520420709323,0.3113396165547388,0.31678344814723713,0.3183389170368019
AT,ror,0.5583243908866011,0.5858553869677787,0.533566250803275,0.5918171494281037,,0.5930930328004788,0.5926689056290507,0.6012476064852205,0.5842759767270698,0.6017942335322457,0.5941127099999577,0.6374762557066379,0.6497893445062821,0.6510839204176918,0.6470983656902344,0.5991930274137311,0.6752973979261987
AT,solar,0.13698832522357565,0.1346210986276701,0.13795648262268448,0.13526175524091283,,0.1337255912201353,0.13378783533342922,0.1327532890267081,0.13244095225603847,0.13176876473475493,0.13212343089602804,0.1307825882674283,0.1300471722491704,0.1285676102815361,0.12968239044545288,0.1289814971849732,0.12762577786856386
BA,offwind,0.24215463734140824,0.2440289524139762,0.23461730295548167,0.2416477274305975,,0.23521495136813558,0.22720837650687,0.22719358848665533,0.24214120444235027,0.23953874660252752,0.2324988140120207,0.23362358587328702,0.23127376590584453,0.22018494297467212,0.23587787962545234,0.23401872219230763,0.24490219855874648
BA,onwind,0.29165436918656956,0.30251001936263006,0.2807887068986286,0.29938991800117565,,0.28626058200317167,0.2821836180581768,0.275012740210238,0.2926176986337685,0.28785630440158627,0.2770929423444209,0.29641732347516386,0.27778123036127883,0.26591954404271745,0.28172352330362693,0.2765606355228043,0.28734221618942807
BA,ror,0.4632548013279847,0.5477815004694908,0.48365784707638854,0.5496860509098154,,0.5194670507253015,0.48895972370927,0.5566441938669414,0.5512247222426832,0.5142260887875503,0.5290425481466229,0.4843361758158116,0.47486027002550446,0.502939295439318,0.4870173646755798,0.48386657570541536,0.46790862570590075
BA,solar,0.13676318721618594,0.13392375636669213,0.13586984152556,0.1327290952232563,,0.13339918914077828,0.13379372469637124,0.13122275522014443,0.13252100997494395,0.13226632508739675,0.13193526589431115,0.13264173190222192,0.13339977246252488,0.13194047485298946,0.13170535217347162,0.13060300898920826,0.13079700271284153
BE,offwind,0.486632752830922,0.4983437637744483,0.4881275630460814,0.4832221803231574,,0.49717254248669224,0.5119285964754845,0.4755570753831671,0.48792977024171025,0.4820575196010119,0.48238739137461994,0.5032284021096883,0.48398268963890567,0.4790927545822464,0.443918394638549,0.4631032462891859,0.4768440390038823
BE,onwind,0.2998916272063051,0.31773282622113047,0.29809685745669606,0.29624566334434543,,0.3069308699785328,0.30905154323290834,0.2825104603829155,0.3001909869393164,0.29497045218620693,0.2916145169221717,0.3142935276622963,0.30088799628200463,0.2936032600643918,0.2614400159167885,0.277703682954326,0.2908837400890714
BE,ror,0.08156745916561979,0.08333014931560034,0.07400000016318359,0.07551179246091755,,0.08944738930232814,0.07834460732439374,0.070144708704583,0.08422464972857092,0.07861130574875795,0.07758390005383582,0.09758097765067165,0.07198894654068934,0.07693675687174083,0.0610900595225745,0.0647862674298655,0.07018875783814997
BE,solar,0.1014267883411208,0.09963783948233468,0.10342350638237933,0.10212173202030735,,0.0988103911356148,0.0984508240333469,0.10271523597112356,0.09971600198903074,0.09868080168094723,0.09987827656011028,0.09454136808357859,0.10089742447290061,0.0996339150196255,0.10307907474389522,0.10128740393185835,0.10013122286755072
BG,offwind,0.3354529293473237,0.3296670173896506,0.3412781020625261,0.32926413280855393,,0.321293778787029,0.317691395723485,0.3472173739469551,0.3382504869650014,0.3311972007638419,0.32600107593371797,0.33439080758038053,0.31762766027528266,0.32666962253994697,0.33610729606240514,0.3371042740567951,0.3275037880364323
BG,onwind,0.21004737557752265,0.2150503820782425,0.21365326723084815,0.21560689572404923,,0.20621303801543084,0.20960734995089006,0.2104345766504535,0.22072953666687287,0.21445557792606051,0.20278519896154773,0.21745486998061098,0.2049004662965044,0.20994194027361157,0.21599599888232726,0.20933809584419297,0.2144860432689893
BG,ror,0.3437273828225036,0.35158541399521737,0.35923659001741354,0.40809416757927,,0.3128481598135487,0.31133786747893666,0.36610549600512754,0.36866347793466264,0.37811820509964306,0.3532444238997217,0.3371516689281399,0.29810378660430153,0.3268420817932432,0.31487571980361745,0.3361985472805357,0.3056514370087608
BG,solar,0.1477025069388491,0.14868236939586588,0.1473209363313874,0.14369563037426478,,0.14700298780287385,0.14773290442626824,0.14411511927057438,0.144997290321613,0.14391444653289642,0.14508014870736524,0.1439586686596613,0.14620585685086962,0.1440404441828485,0.14404845238591424,0.1415944791798635,0.14407708598991412
CH,onwind,0.3524334562870396,0.3618641823227451,0.3376998681417753,0.34996985721376855,,0.350639202123459,0.3370346012937414,0.32671269593139673,0.3374305043572617,0.33950613412460195,0.32561317619581054,0.3531981075860735,0.32335311789949994,0.32406452125960045,0.31213409951447135,0.3144408058198954,0.3280927733129065
CH,ror,0.5170325654211795,0.5184348732468042,0.4990213915105486,0.5461477291723708,,0.5508904740653022,0.5453288948768202,0.5532192650186272,0.5358335593695146,0.5500641710321376,0.5679915513398209,0.5904909486018827,0.6055451298766819,0.5947551149057007,0.6118886656211778,0.5743950612544114,0.650307180940502
CH,solar,0.14594496736702714,0.14469490174498426,0.14680170499446568,0.14568064345546616,,0.14263593613204517,0.1424472535744395,0.14278399153684931,0.1417953736303219,0.14154171134797477,0.14101995180893812,0.13948703767651485,0.1385916564080631,0.13779450775507793,0.13817075265719891,0.13789900566967767,0.13546863118140715
CZ,onwind,0.25999480779403056,0.27421065365355046,0.25514454839052203,0.26371803459305243,,0.2581220156365032,0.2566187434441443,0.24155893963998368,0.2551529086765561,0.25586654986938767,0.2457387193717402,0.26887458469454006,0.25275335330051996,0.2487869763204897,0.2435404971506003,0.25105713704543503,0.25650824264197314
CZ,ror,0.2931847090578472,0.35671908281938847,0.25974991144775805,0.33361550052185696,,0.33807626323558443,0.29372336308099195,0.32036402196445135,0.363737146335899,0.3362967468101881,0.3269926856679845,0.36782740046215506,0.2759170029064133,0.33107909208655956,0.3340812767073003,0.2946398388262425,0.33525974789649116
CZ,solar,0.12410708341937936,0.12086054076906597,0.12613681125637752,0.12259765872574856,,0.12036386719359499,0.12046915785178926,0.12016727544459631,0.11662014665583288,0.11844522136304943,0.11902593447657818,0.1160675025013807,0.11765537186151732,0.11626943538525894,0.11670083910494929,0.11636191394409763,0.11554512161326813
DE,offwind,0.5196043125972921,0.517442269186901,0.515898548652361,0.4987323087963438,,0.5294233898155829,0.5321790548829576,0.4896625926466167,0.5024043075225384,0.5050023883711918,0.5012559242050559,0.5321460906827017,0.5093856530639207,0.5070225476502291,0.47465970250097933,0.499778408962779,0.484914246706368
DE,onwind,0.2810155762757405,0.2952412848403865,0.27523086813649084,0.2766841326150947,,0.2876914692226874,0.2844037144969262,0.2594083995897333,0.27199561112936177,0.27578606340718287,0.266838620321357,0.29429599697766634,0.2725131811215555,0.27226963016216754,0.2512296115997346,0.2645039599921922,0.26901283608210635
DE,ror,0.5240240292188941,0.569193563294648,0.49284312943983505,0.5576345307346513,,0.5636198480384906,0.5058724333907785,0.5319148868242624,0.5505915770365274,0.5256508002571992,0.5286960285859794,0.584318108917444,0.5003989921762142,0.54001574644518,0.4980734029115904,0.48688717252322355,0.5418295635996002
DE,solar,0.11028397394505819,0.108397483386269,0.11232524530726011,0.11021155245379984,,0.1073910164739072,0.10676232131414619,0.11057533058435216,0.10646032736853064,0.10542653521411191,0.10695380842531327,0.10341154559056961,0.1069965055820536,0.10549039775954266,0.10803372446637594,0.10588112545918761,0.10595388321823623
