bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,onwind,0.3285275931366635,0.33228161956932467,0.3338394629691228,0.3503267742012155,0.34861889072523516,0.3241510679439899,0.3315291935269584,0.33076125572960074,0.3251046617462363,0.32786501336518403,,0.3388993860877323,0.3309801329152277,0.33548688608606064,0.3274804726073427,0.3319515763767271,0.3310265417430995,0.33506279992394483,0.3269935677815849,0.32229663549151083,0.346889416882478
AT,ror,0.6148435608089247,0.6180603561159327,0.6090622619830695,0.6660946927537642,0.6633752573393334,0.6179380117075133,0.6058700414834254,0.6685632181452448,0.6404891267647925,0.6687649426034873,,0.6706139144147847,0.6640314808092903,0.7102998065323465,0.6790238705340098,0.6789467992543587,0.7231395006704529,0.6760986853908854,0.6521217957293102,0.6566486138091676,0.7404207826186815
AT,solar,0.13168235782088772,0.13121446490808544,0.13131070906483705,0.12704337976601898,0.12850970418983534,0.13016610046133958,0.128979151579399,0.1280035772861902,0.13068586038530242,0.12677323174590363,,0.12686703893941115,0.1262075996095875,0.12419641770145508,0.12524580656538178,0.12411662546725331,0.12347246822978622,0.12281814963902991,0.12415702399615096,0.1237827337569176,0.12055232603273484
BA,offwind,0.2580106781589075,0.24007636161698148,0.257008920503587,0.242623010995484,0.2542779810483754,0.2587331915094438,0.25281700678861335,0.24596723239309187,0.2418917184455302,0.23039529025678973,,0.2529505433289786,0.24570894541162894,0.25668045935370537,0.26601698646031136,0.2560837197977592,0.25877695011796015,0.25871080063353685,0.24829054199015013,0.24585031537749008,0.26590404247062976
BA,onwind,0.3106032217636168,0.2991782655092632,0.30627341615126286,0.2992799628733412,0.3169301685515154,0.30432744592860517,0.2966307362168565,0.2949631464721717,0.2914726292724159,0.2902261413071129,,0.3004643943310759,0.30210574990775885,0.3093624509402324,0.30929659759278455,0.30451784882857874,0.30318035527638326,0.30752928710831823,0.29497479891005257,0.2930312748521512,0.31913350646557676
BA,ror,0.5269394253912784,0.4838595110569106,0.4697081676573777,0.58564000642207,0.5068433404700062,0.5008847760590192,0.5142178381596088,0.4917434835758364,0.4912260534336387,0.4888516680340983,,0.42832629944080247,0.45081127475098254,0.49432442064364157,0.44758151258142853,0.46116467978218856,0.45973493186052167,0.46078868709779003,0.4133735392833329,0.433248031756946,0.45793112983444895
BA,solar,0.1304532223687135,0.1305560526835609,0.13081691972946954,0.12759595132819246,0.1308119031173093,0.13091850246169173,0.13044239494644508,0.13007949852191658,0.13154881795545437,0.12929682514942098,,0.1311186865819055,0.13041095125428068,0.12861555827336985,0.12903865956314856,0.12837779229452803,0.12861518902558716,0.12749300397936913,0.12999659866451138,0.1297699371747417,0.12691784172323986
BE,offwind,0.4756296528962295,0.4706246794960069,0.48351129267530624,0.49087708708168626,0.49416762359092276,0.46750447449308463,0.4868570171021367,0.4892909600567609,0.48242221211131864,0.47559148835342496,,0.4745157781004841,0.4786974599570542,0.4798265986439406,0.4599017030647747,0.4858263878434722,0.4915664842656256,0.47057611161343266,0.4854784395630863,0.4797260366246569,0.48964641348456833
BE,onwind,0.29945533926015655,0.28917613321841235,0.2990178372111577,0.3118476167777301,0.3114185548357066,0.2883954935134132,0.29870252334743025,0.30510046507900573,0.29531999925819685,0.2921796568349137,,0.3011613437715947,0.2979794765439947,0.30709165100708663,0.283875256358768,0.3036208134310865,0.3101144029192276,0.30512526581454025,0.3040526833607816,0.3072648085430833,0.31479741659334004
BE,ror,0.08348693977376563,0.07661522455695206,0.08517788278986739,0.10232090441845794,0.09464621284006343,0.07556293741300633,0.08292178477259327,0.09063141726918457,0.07899870534144582,0.09253335131771222,,0.09657986580115667,0.08627756333256106,0.09519135601425512,0.07767927228975186,0.09216416348643407,0.095115504095823,0.09073719435481623,0.08069166178043959,0.08646896335935789,0.09805170170660364
