bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,OCGT,6451.46206648,6442.50612164,6803.23097673,3069.32594709,8144.90215534,7069.39659396,7550.80467198,3070.41707822,2033.65683118,3479.99705147,6554.68867579,6365.02984275,3199.82557558,6708.20774653,2594.24430525,3444.0217263,6287.26111283,6445.8743194,7166.23649724,5630.9259641,7982.61891956
AT,onwind,66021.9313982,74022.0362938,74022.0207588,57771.1323412,74021.9701644,74021.850031,73709.4614141,74022.0371486,74021.8506784,72383.3207559,74022.0101616,74022.0162803,74022.0180336,60139.7260847,74022.0048612,58307.7890192,63499.5413329,61763.6950676,69496.1178254,62256.7092998,70176.7703982
AT,ror,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323
AT,solar,0.024955727125,0.0177543364271,0.355828311688,0.0997404399234,0.062798195446,0.132556023428,0.382922948893,0.100224501923,0.0541868636033,0.234594644459,0.0760408767865,0.00753687832533,0.15693836541,0.0854603510926,0.10425629928,0.547863195856,0.0255429741829,0.0502554069003,0.0140190722222,0.671133027905,0.0565610392513
BA,OCGT,2459.01669682,2290.39590372,2978.83565626,1451.81226575,2409.50120117,693.433673511,24.7014412236,1347.61344401,2134.87792688,1694.65974687,8.17801556334,1751.4190454,1140.77147372,2060.03639444,1699.36041519,1218.91150771,796.25347478,2736.73950594,3237.02635891,1465.53217338,2081.84289838
BA,offwind,0.000518254017762,0.000590934208185,0.0030119122687,0.00142193382562,0.00131137106996,0.00144454525167,0.00584967553253,0.00145695537612,0.0017123727426,0.00676822302567,0.00139276121678,0.000177403988126,0.00544112338871,0.00350496533784,0.00409354308069,0.00897566191539,0.000820447024695,0.0018024591488,0.000589458972343,0.00927689946083,0.00171655884312
BA,onwind,6384.13290489,7146.69536711,10268.2241738,7852.71543361,8668.89599894,8649.81414264,25491.4109298,7478.23544925,9090.99651098,8282.96975118,5286.85074095,16540.5494727,4959.6974875,7408.69831982,13224.1503403,8719.74264971,8190.16514271,8011.29741107,9496.10999275,7926.43710009,5919.33243402
BA,ror,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0
BA,solar,0.0142287405603,0.0186092779803,0.131050233146,0.0502476378427,0.0707206805802,0.0479820063146,0.0861600023497,0.055853271018,0.0567629195062,0.257028410218,0.0512994595717,0.00368682483644,0.186165117812,0.11352810099,0.10611495975,0.285637015026,0.0317048482349,0.0790438716423,0.0271006450088,0.409254186686,0.0648176338325
BE,OCGT,7822.72773496,10268.6259681,10526.2012352,8898.4661523,8144.96088103,11149.2864303,8688.85301056,12168.1572722,11153.7596851,7188.98501767,10084.7374473,8042.96060833,12211.9972326,9422.67327083,15660.3228604,12304.0720741,12892.4947728,9466.63643516,8220.259991,10576.4682459,10492.5163583
BE,offwind,0.00200558709678,0.00190820398916,0.0106206102781,0.0054336939534,0.00863997838874,0.00902385024741,0.0213762339817,0.00472971981654,0.00591156218035,0.0297378275757,0.00732973664012,0.0010609880875,0.0226835926339,0.0149389260368,0.0176111066021,0.0560336612968,0.00473724706849,0.00716321187674,0.00282999404131,0.0457377866638,0.00874853592135
BE,onwind,7141.00931459,5952.06538943,3769.88490689,0.142284982376,4316.67964554,7919.46639494,0.287630455289,2145.76052978,0.258388320998,2099.72772941,54.627057572,2618.19771913,3760.05880651,0.179312126654,515.262057,4724.89756901,0.073395503807,0.0599825304641,5466.22430468,20.6481629225,2732.7617771
BE,ror,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
BE,solar,0.00453781089436,0.00450683443137,0.0395113185673,0.0131935667145,0.0135102177612,0.0177383601234,0.058432015385,0.015767987502,0.0146270937145,0.059365208838,0.0155383304795,0.00167466614506,0.0446920164983,0.0301667803954,0.0309851817645,0.0888026094809,0.00758267886588,0.0150188198659,0.00528426388556,0.0882020263496,0.0134992873243
BG,OCGT,1498.84926581,2727.01394253,3777.50098608,66.4444091101,3058.47044593,5015.19736958,2557.20968429,1114.95976048,2634.07116591,1412.67306344,0.0211319150772,4241.49768701,1052.85690826,1589.81147812,3086.85009753,454.330036397,0.0112114290467,5282.15124541,5722.54828006,20.457922257,3149.46489695
BG,offwind,0.00120079242617,0.0019384337129,0.0110163387981,0.00476878560779,0.00448909577463,0.00653173600981,0.0198549561025,0.0042377824686,0.00595292246806,0.0233870619567,0.00499431428066,0.000640960927551,0.0172982589946,0.0120023482024,0.0175632970025,0.0264928010671,0.00292708494614,0.00577425693137,0.0022025048472,0.0263480112516,0.00562185701105
BG,onwind,0.0204494785653,1456.07092418,1.47104794913,0.0432750117891,0.0507009620006,932.329701404,0.567732738809,7608.45642876,1834.01367938,0.166875068115,0.0331098886047,0.00419575615444,0.13776661307,0.0910305883419,0.357566375871,0.155115471222,0.0947419970216,0.037499511341,0.0245584246872,0.13067472216,0.0285609928426
BG,ror,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0
