bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
AT,OCGT,22.6351401164,3338.22522121,8165.49889527,7859.93136302,6466.89995267,6975.2546865,2399.65522948,5191.92320829,5344.44368142,2869.99273258,6165.62304662,6379.84119084,2589.05291553,6637.71846147,3161.29241374,4315.27752823,6555.5185987
AT,onwind,56505.8178082,74864.9040175,74864.9494651,63776.5065681,74044.7445312,74864.9831843,68946.2547837,67666.1265193,74864.9351369,74864.9721078,65597.6397523,72334.0264047,54387.2413319,66215.3621013,70523.5170152,60991.7151492,41177.8017192
AT,ror,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323
AT,solar,0.0871462887095,0.0731762881278,0.351110515783,0.0434161156153,0.012667938811,0.00217010312402,0.0364480962289,0.137361293239,0.149505293063,0.0801774916433,0.0654780497392,0.0145366146873,0.00816545006201,0.0188160867168,0.0613743838505,0.160124502578,0.0566054141259
BA,OCGT,366.619147311,1.3715588742,2671.48917251,1379.92934663,2129.75091426,2561.34399827,286.677214581,1899.80228857,465.548359851,1082.93059404,1788.99402371,1211.80583217,1737.52322458,1990.34425429,1606.97147697,1297.8065957,433.401809373
BA,offwind,0.00477585248728,0.00432592852442,0.0112381035676,0.00192683161263,0.000741047264018,0.000102372143639,0.00199937801348,0.00546666417596,0.00727213154228,0.00378826889744,0.00280382851946,0.000672763822131,0.000406414914303,0.00107065581347,0.00224812125864,0.0047137110644,0.00206429129381
BA,onwind,2831.64887757,18200.1134547,10947.644377,4002.93873186,6574.07779406,7512.14682466,11769.6095391,4454.2540155,4257.42616037,6540.85486177,6109.50572085,9042.72209467,5497.58270108,5887.99426622,4790.51038033,3573.90159228,12330.6187143
BA,ror,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0
BA,solar,0.186983366416,0.0534125377636,0.374045967593,0.0751395588925,0.0201820276529,0.00278856930564,0.0430471608352,0.173238202041,0.24422515333,0.133988369611,0.101049205062,0.0274493619369,0.0144840359627,0.0416073178995,0.120130763727,0.211160427595,0.0673045978488
BE,OCGT,6118.53883116,10957.2812187,10151.948879,9972.73973366,10714.6951193,7405.47894367,13245.6126994,6922.84321318,10568.1965101,9077.90524153,6743.83050894,8278.6797014,8107.73488177,6929.36030045,10669.2865321,9314.36627717,6716.36555443
BE,offwind,0.0141228941268,0.00947708839736,0.0400315719095,0.00882771479315,0.00227824506436,0.000390745881224,0.00897566627681,0.0171068595448,0.0262699928375,0.0178521772801,0.0157136762364,0.00300931589396,0.00117577202872,0.00390275972226,0.00744736292413,0.0189354487185,0.0133671117372
BE,onwind,0.204052901321,13492.0976775,543.442668037,3287.7774034,305.689503455,1092.67106097,6756.93310373,3059.35264781,2426.68724315,0.535876238867,0.276713929886,1442.45569784,0.0181964742306,2173.23714582,0.0323780005949,0.106875578528,0.0796165651862
BE,ror,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
BE,solar,0.0312404922574,0.0266414140255,0.0933798824882,0.0149593533787,0.00487755664651,0.000711395003445,0.0130091424103,0.0414656357629,0.045018509378,0.0280759844684,0.0206183391786,0.00428168973583,0.0033432145517,0.00685065912995,0.0241957479134,0.0513233827971,0.0176604095818
BG,OCGT,312.079967414,1140.5928921,4713.74789167,1658.35568403,1344.26828455,1537.68186457,3706.36941,4309.98621154,0.151891540483,594.771440843,128.790170358,2189.50599144,475.768274794,4908.22869512,2673.84123247,0.528191931539,5.92323508676
BG,offwind,0.0184890054702,0.0101701118978,0.0493291621474,0.00689128116094,0.00238498651838,0.000331928424426,0.0052246117782,0.0190715847628,0.0204527310443,0.011706796286,0.00957078371047,0.00206114770608,0.00116028777832,0.00347248360285,0.00713185420517,0.0109189208621,0.00637077116049
BG,onwind,0.0696954456067,0.0667923245207,0.375713920771,0.0383786040707,0.0356998661259,0.0016506992453,0.04013048994,0.0859559021443,0.39517277955,0.159595911683,0.043838266202,0.0202406463605,0.0066602642554,0.0472082270634,0.0465924825926,0.0589253559691,0.0730565107769
BG,ror,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0
BG,solar,3017.16069382,7112.81373531,5182.36239321,3474.43528608,5474.49690117,4392.90928295,8646.01092477,5021.35057551,2073.14534172,4256.7502995,3437.19921223,7270.10692489,5336.92435559,4665.41428352,3515.18411676,0.213963050066,810.330038134
CH,OCGT,63.4887102835,2662.30990695,9774.8875601,8752.17769549,0.205546511864,6903.64711129,4071.78093504,5592.87907521,4398.44145083,25.8050674704,6161.73933904,6318.67390827,0.992420058858,6543.39385259,8043.41164238,4275.38331056,7337.57895689
CH,onwind,42587.7834859,42587.8115975,42587.8042572,42587.8048942,39421.7911285,42587.8114604,42587.8100858,42587.8054917,42334.894344,42587.8097753,42587.8058943,42587.8121987,39544.9987063,40469.5243843,29424.7680716,42105.373604,42587.7630184
CH,ror,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419,507.22601419
