bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,OCGT,10077.6679778,6765.88758867,7161.33778929,10108.3388352,1412.10247703,5966.8392061,6495.62030282,5339.53315725,4554.44068267,4280.91488444,,5220.70357395,9247.85069166,9287.61176757,8465.73152019,3478.32199523,7599.78452853,4768.20967249,5365.33531543,5042.5035746,7379.40326547
AT,onwind,71560.2033805,67715.2601351,74537.195034,74537.1652466,70640.7079865,59564.2541195,51395.3498601,74537.0867326,73129.2805307,57115.0111809,,74537.1922362,74535.8193209,53382.6058221,61162.7876646,74536.8624572,60356.0252168,68915.3895807,62737.3120595,49336.060212,53269.4317532
AT,ror,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323,7827.87477323
AT,solar,0.124441415679,0.162652041307,0.0702379289165,0.0154302423915,0.0122084031946,0.0499039721255,0.0802911641875,0.0210118533287,0.0361355309064,0.104036028117,,0.00732490085248,0.151238319493,0.122163080368,0.0520479212812,0.12227285008,0.0977597970859,0.0753979134589,0.0101294424054,0.206062864613,0.271466549823
BA,OCGT,2145.13175653,2251.60886064,2618.22399356,2254.34644927,1089.57648047,989.678200472,226.682998902,1863.06898041,1094.50079254,1509.34343439,,1317.62932663,1576.57668412,1771.73317848,1894.81562581,933.96154751,715.145585931,1699.80490989,0.539595417581,425.785361659,2591.34094967
BA,offwind,0.00433726797213,0.00567824278202,0.00498990643651,0.000903528718462,0.000780069501377,0.00198241881826,0.00113842389968,0.00133027124687,0.00186180589513,0.00619903717053,,0.000409793571499,0.00778336689627,0.00535847280404,0.00290719804253,0.00537980294278,0.00484507286986,0.00389782173767,0.000264091571611,0.00477782122115,0.010904282854
BA,onwind,7882.90751202,7166.96617191,8158.13069936,4424.98926852,10920.9125273,7429.25664358,7212.29315167,5655.29123974,6352.67158314,4537.95816331,,9746.71379409,11549.1164487,8877.07162519,6164.12680468,7123.87886685,6029.03699296,8343.24204607,2902.4723756,3263.24238577,7407.52142822
BA,ror,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0
BA,solar,0.14042596341,0.216226028017,0.152119836628,0.0280481645326,0.0162452456273,0.0646223032737,0.0658249512365,0.0414530483692,0.0698862957345,0.194549857077,,0.0165060470169,0.331850418766,0.28309917043,0.117046041499,0.286572580508,0.210301183048,0.180489855296,0.0360248022705,0.347186550362,0.664960607582
BE,OCGT,10066.1879007,7750.40056505,9069.31796246,10942.7093876,10229.053982,7609.9465,14551.7145635,8883.55317593,12678.5391326,8395.95937199,,8529.51061925,12526.0501347,10247.436069,7569.78329149,15593.2040412,10617.9875231,5757.95584356,8312.77003359,12044.5738038,8688.51833574
BE,offwind,0.0214462515023,0.0335857778354,0.0140199522898,0.00417643880329,0.00258256791981,0.00739209341029,0.0064041467468,0.00480775021526,0.00685310108143,0.014078337093,,0.00122589407939,0.0339222448386,0.0212431004174,0.0140601896766,0.0327653185933,0.0169032352077,0.0104816727417,0.0011366833181,0.0183426587786,0.0392831693274
BE,onwind,2491.37798567,206.337089446,0.207602727714,4087.56870464,18050.6172254,673.905999074,2360.8643265,0.230527814522,291.571242393,0.13352280829,,0.0104303197678,3126.0765176,204.641793551,6.08907061002,1542.09418363,2.81322174281,0.110940645771,642.094621419,0.183965716207,0.28241555378
BE,ror,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
BE,solar,0.0368980507519,0.0493592783348,0.0302259876085,0.00546711201366,0.00431145969763,0.0164140998245,0.0156670407119,0.00751439885707,0.0134413843172,0.0361462451109,,0.00269782340393,0.055180471004,0.0487762304578,0.01915796616,0.0407224223481,0.031795793023,0.0278641189825,0.00237507140473,0.0395166643251,0.0781295953714
BG,OCGT,3179.1540381,780.580056382,4790.74084827,4713.63145246,1271.44401114,0.0332141084173,0.0990654702477,1422.8923128,1005.68200492,0.0436688936975,,1258.2474946,3614.29001814,2064.38761696,15.7918545733,4.38930558055,0.134402681938,813.706569611,1.53081568662,2467.22108482,4240.98316827
BG,offwind,0.0136496381795,0.0228284770659,0.0100645985063,0.00217641106424,0.00169694390009,0.00797220489457,0.00522958422133,0.0028569858596,0.00490025516015,0.0149006402451,,0.00117001763551,0.0276441873511,0.0219620401399,0.00753118563216,0.0153037784678,0.0091547263033,0.009813226647,0.000607669882957,0.0105621114668,0.0235080394922
