bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,OCGT,11014970.25171028,10748893.1066939,10832059.779430604,8468851.685588744,12047542.023546882,11723397.79160529,14413796.338284416,7898264.712092185,6467470.970462269,8801920.530665334,19057375.904101424,11109708.389073774,9613987.556054944,10632374.853983395,7805911.906706343,12629270.982770316,14030952.67866799,10381494.261847742,11538508.12555418,11717355.827576293,15231558.217302084
AT,onwind,339989070.32102484,389633597.53683084,378786958.05657494,270707954.1946013,381168427.8755809,370599859.96448237,377326752.59683836,394464045.17767406,373533073.65969163,370372660.56998473,512332668.8268322,384251250.7700769,397904802.35331154,306868242.5226773,390175032.31120294,393918365.14204204,317354826.2137158,303479018.7738316,364051150.14034134,314870641.187678,420230283.5092951
AT,ror,80991116.42551517,80519559.57546441,78875716.32033865,77758024.61199546,80101505.6524187,80621128.9791361,77110343.03154904,80901296.62770477,77907183.00065729,81566128.7595104,116164663.4846737,87902289.01385476,91354924.8889832,86911863.28440966,89034031.7196696,120304776.23309699,91215321.49664998,89848372.78976883,96019903.63469115,91553287.92888008,111166450.43888003
AT,solar,46.07846646752932,31.908747381357152,656.1719886745125,182.71601393793011,111.1421564054069,243.04469569636407,690.1512362221588,181.87989713445518,102.23549804103736,416.9215728828871,180.3927239177769,13.48797758486624,272.3112176408774,152.09148048902557,180.251438508574,1282.4769293681063,45.171213933760015,87.419461718589,24.338452334923822,1183.6014742923726,112.63408591365733
BA,OCGT,4767415.241299262,4551347.936810136,5140444.554818793,4366828.460396087,5076905.732654778,2751100.1595421564,123029.38484721063,3838055.524241681,5457152.535033085,4951252.721696115,59705.985011475146,4097049.298258436,4035464.699902475,4955017.554686144,4932529.3187247235,5673026.655128591,3484078.8911583074,4806111.3389693,5318466.612904132,4307975.201097132,5692816.076600296
BA,offwind,1.5940635256104845,1.7716805205102992,9.75552998481632,3.8800856810096915,4.468253441902291,4.540517681476971,17.997824995790605,4.394556205156185,5.124310609184953,20.206850508855158,6.056238074622961,0.6322048911323573,15.977872381708595,10.692981264193083,13.172343188369457,37.65090320016035,2.6352124930645937,5.318780416528452,1.8413452860538562,29.328522646393683,5.977258751057612
BA,onwind,30329051.497491524,33133804.647613764,47532235.10504637,33280848.31870475,40707207.11994279,39926739.40000516,121125050.98810716,35826062.95848685,44976418.59740014,38433314.604107015,32088194.789914288,74839816.77624369,23035740.837806307,35494400.995895706,63470450.91380193,52914771.34923777,38129450.722011715,36725092.45851371,44964977.92797746,35874778.120287426,31170004.60765075
BA,ror,6967094.734287575,7767510.603561831,7249983.035097346,7336238.295452751,7406175.486714177,8825211.497345328,8392352.110972801,7548812.146724529,6677733.298017075,7457031.695026033,9731903.65983158,7671735.280475088,7410813.101859188,7530320.364821302,6883927.141433188,9585277.429852393,7217112.705636999,7080136.460174703,7094713.529170599,6480613.270003377,8258637.724406125
BA,solar,25.94461128052206,33.35857871858049,235.87778363930533,89.19864001629844,124.49640398786981,84.84405288229551,146.18583504390082,99.29239923394005,107.3161371466061,455.89287680920813,121.10973169004069,6.4340662571224465,328.7254868973466,205.3389122317064,185.23556133256247,665.2590999736142,57.446323561493664,142.6087646781322,49.17819348180474,729.8593807346207,132.39428277399236
BE,OCGT,18179160.74810085,17934616.950817406,17863778.940176606,19235099.60276989,14495056.77831497,19374965.275924567,18566229.86605898,22540080.042535048,21979089.18100679,15783240.511149697,27587648.353349634,15796611.087245377,27627386.582990725,18530008.16844123,26516063.74535674,25095354.6382111,25385961.313521437,18304970.18095027,17645784.413416155,18993838.614535652,25036433.410841502
BE,offwind,11.995698296591542,11.09907819155392,61.92876923889759,30.806634755275134,51.35455669936204,55.144086803690364,120.61127773663648,26.71162472349186,35.50044081906722,181.88014401456041,59.649890902376285,6.751824289815104,140.14060511507395,90.98903639185758,107.86646405406869,476.9778914992927,29.050993247871265,41.40556290017812,17.69575439425551,281.67083477634776,61.86453002683256
BE,onwind,31513460.62831972,25760073.918455634,15667279.736274254,502.6993963295912,17479867.509316277,33875793.25846502,981.5350118529515,8885616.564057872,977.9638142161401,8668567.886682756,284513.1562048086,10998337.94235228,16820241.120070536,648.6485563545344,2061073.7824063813,27095266.45378776,261.58121060743997,205.13174599659914,23902683.009837724,79614.99036723969,13718431.624471253
BE,ror,188898.50558484774,224090.89360837216,198443.59722781336,197865.96962003867,195180.80651010867,184774.00884028853,179449.9031412825,217388.77327444643,209435.2625368166,181637.10250718135,285230.0556417722,230732.73805344658,260457.65569876594,183015.35693575794,228969.64679106197,264618.81262516946,209560.37557621216,206332.55044314367,223580.82844236484,204564.29338020162,293572.9422040341
BE,solar,6.36518936517047,6.060367232417781,56.88023908364959,18.084141742131028,18.686169723537105,25.672295660939614,82.39435684794064,21.93956626441015,20.332690082580733,81.06343694861529,28.637323962743018,2.2987715236731496,58.644139305963684,42.017026060707515,40.21391513083737,159.5568743306892,10.446272275322924,19.812101784358134,7.125260707901675,118.8948273715904,20.46415070325326
BG,OCGT,4138579.3133302354,5715553.473448323,6959771.1840594765,366225.1964546953,6138174.9365533525,8148487.994280001,5749490.380984903,3291021.5690717576,6502357.857355129,4516339.8379912535,146.922005577327,7683379.614704695,4025542.542972978,4311093.816263704,7958898.415931427,2737237.359205436,75.19699547137606,8126223.476922498,8509639.886146326,114506.66101723482,8143501.750497107
BG,offwind,4.967851983678267,8.276801831856643,50.20649044236415,21.117333830455866,20.11172267360091,29.12300984884211,92.81981207437049,18.281206291548376,27.649149492687776,107.24641607302631,30.597661449433197,2.9354554020903425,79.6853439712799,56.708152177057805,77.83332189900776,157.16919393517352,13.934657670106132,26.421435277973675,10.404292794404412,118.15006055816421,27.508052950744688
BG,onwind,58.44198527664534,5047427.2476742985,4640.911634548649,127.17654899113444,149.1679770471335,3125693.932704871,1744.6334259127534,27828153.83473818,6360180.450331962,496.1056156155648,132.37730039016094,12.109230685884045,414.3986788562087,282.21614030518964,1062.3140496452459,585.0669019106359,303.00510450247896,110.85390311382064,76.8336058775082,375.9356494369098,89.70343525220272
BG,ror,4607347.933131496,5397835.437350811,4635936.635365023,4749330.2791971965,4750019.671396403,5767102.302706324,5588843.4025091035,5384400.848123339,4340360.156001679,4929000.189930693,6181617.410586807,4778417.386488071,4837015.507005142,5080998.493234465,4396270.897709642,6127695.194437692,4515428.451589801,4805921.354291578,4429471.772594029,4533920.904984393,5310324.064600511
BG,solar,6773992.770004634,11417599.780126477,12939367.820016671,10535104.2658556,12170783.900059406,12471765.856553439,7690575.202225787,4983876.510354447,2966468.7377550947,11947761.76152206,2191547.042495225,21242908.538555615,11090465.16731976,13740332.341885982,20285133.781337228,5245.888940181694,13022587.628896898,10292193.023253478,13154243.589162685,2637.303838129307,6667080.260031719
CH,OCGT,11408109.21813995,13268369.251380373,13438146.839580478,13522068.533624984,12159696.86068892,12469289.144072944,12423178.847065719,14770906.71205553,81812.41909961928,8756698.84446526,16446.699484344157,10924367.016077103,88984.13164731541,12098506.01611631,10356668.19755422,20424571.454472266,12137.1836699265,6913776.427462284,12169027.838456972,14681788.96832224,17040397.689732455
CH,onwind,241198241.46669194,234458784.7473076,228789223.92423308,218337482.72057128,226460529.5617343,225347203.7600512,221884077.10586056,237506094.36562404,230149867.98322812,224190249.90505898,311646249.41536134,224813087.76681885,243511966.75425088,222901799.22815055,228917525.06641608,308008479.597572,216367095.39698148,209734299.74220634,223341342.4835822,223762209.89825493,267530698.1588352
