bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082
AT,OCGT,136516.2124994622,9743415.364063809,11823971.791199058,11587192.629124925,13108730.97108825,11264944.865977274,7635357.090033361,10416149.351524139,11480762.74484047,8433445.095080184,15087233.925280372,12266634.59387417,7724607.9290863555,10810946.643609779,11588914.61409159,,11820861.3308339
AT,onwind,289916266.05318,406020377.8365866,380478655.6560678,328821021.68948823,382202867.098169,378771693.14306414,348826745.4697752,328865388.7080288,373883868.41917646,391715217.7149402,413772087.8573465,381499365.29190195,259807791.73068303,318339938.3557009,442346251.10414934,,196619289.03150696
AT,ror,76558735.18244493,80382973.73624241,73105181.43719086,81220023.68712777,80489981.85120927,81412680.22210403,81299047.0013504,82492116.31141347,80111138.25571364,82571761.21287036,108678826.84489328,87460176.45817828,89151461.72231445,89364898.25183739,118379966.49400055,,92681583.86844221
AT,solar,161.33068808185678,132.08944977945785,661.3270923486984,80.18264269706565,22.60690110952567,3.883541662158598,64.6818482625615,250.58220002636975,267.12624901544723,142.95301311277527,157.16156044757477,25.85427165679126,14.076268096481733,32.781083259968064,142.6886328266853,,99.6873189204716
BA,OCGT,1812300.0420310558,7724.1475971997625,5812000.094006748,3863865.431395962,5456697.852336012,5205758.343331524,1460797.3726328034,4876544.280414542,2007840.776654447,4000611.6667569126,6650882.08737248,4292123.515566491,5285601.478584891,4904384.462475512,6690602.108837746,,2008723.975286609
BA,offwind,14.34459842189424,12.005646051880552,31.76943875131849,6.15499557631326,2.109568346857889,0.3038397664225165,5.42913541520603,15.294771891854108,21.518025561933563,10.659706461497384,11.164067978488166,1.903511275253718,1.147305991802998,2.9813409705697067,8.779543432717754,,6.988563232408694
BA,onwind,12628808.15867356,80680258.72957458,46695432.76455479,17774772.039652746,29093739.311292164,31694871.01862103,50242451.61439176,17897971.77936426,18271958.52879559,28217737.459124964,33407844.56581972,40480960.93972159,22940791.59978066,23647493.83501817,26750759.02159819,,51022501.97450513
BA,ror,6625180.405983191,7844422.212118437,6869764.206162626,7889871.44787172,7558290.605766962,7468882.075885874,7011449.336944524,7973318.833717877,7878374.190748192,7365827.7912480645,10114372.788471196,6956522.663332587,6821533.701115947,7225243.050118345,9311546.252246983,,6714085.771176994
BA,solar,361.9390051734662,94.96489421919757,701.3915889592478,138.8714770966802,36.91681407895318,5.036883637214585,77.10321232396477,316.9926885731536,447.2513616247151,245.12679373997094,247.35729744337087,50.610698713306384,25.698201983190724,75.74605985601636,287.79635824570477,,120.06028564277865
BE,OCGT,14449021.687312622,24806646.0963952,15657189.178747915,17852612.499866467,20695436.24324065,15738757.706060033,24976029.394790255,15339170.50658372,22934706.372315105,20035622.39183546,18569021.705856726,16458619.662145557,17326870.765925325,13193879.225129243,23373749.733260773,,14183106.51408225
BE,offwind,89.92045122295272,56.26738519491501,254.30617402778117,56.48344389649702,13.732710873292541,2.467613035054832,59.78471892810177,105.06126515763417,164.04381597341558,110.4259993698408,130.7142995924507,19.45711046748414,7.227618085844886,23.896041941665704,56.3545543172161,,85.90234224700117
BE,onwind,837.6657889522858,65422406.44560675,2271343.810669141,14566106.201535968,1266532.0535992791,4762331.106842863,31444397.757720105,12604673.729196347,10648284.196425721,2043.5695590850885,1409.0742431906879,6408166.91433404,69.99424775807695,9095543.580880022,140.81036647751802,,308.0710168539706
BE,ror,189380.89515883304,193749.9007477503,150658.5740880748,181242.2484721896,178705.02736029506,222349.00726274552,187529.385986828,162800.34667182606,189515.14170030988,183480.59064275748,246803.36800582233,240519.80148935318,177337.37335914106,188276.37974594434,191947.51405309592,,169146.46089689332
BE,solar,41.443121927245436,35.91874508027179,131.04305226136262,21.061842510636072,6.728666025661115,0.9495140879776066,16.969080229863582,58.18932239869326,60.380063800653645,37.24197584313153,36.901505774271214,5.450962176023716,4.529858853681197,9.111877207901689,45.41409065472062,,24.87110553849697
