bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,OCGT,12002223.945724888,11469490.967684532,11258192.87961461,11669296.207402898,5245292.705106303,10580048.854352606,13446009.61199852,9895338.216650892,10704537.888237886,8754284.703171259,,10620054.2559943,12705508.487971624,12802635.001440575,12016533.697747357,12975820.588939568,13908258.801648704,11180551.053846467,11891919.335261641,10805583.194329733,14829593.842077773
AT,onwind,367438000.79504776,355491043.15792686,388616591.25973964,410375831.81913537,384759849.83927417,291162200.02861893,262288097.20088798,387590304.06450504,373492497.2870055,289910893.3885756,,389495695.01470876,386794880.76467526,279944873.9794235,312017985.2127402,502301040.95794696,303014982.6226531,346579413.52197254,313010564.4974281,232634997.6973359,319241826.1065889
AT,ror,84321561.76553953,84793683.25715058,83522259.42964888,91427171.47392645,91013843.08486195,84807336.37435232,83107903.30984926,91762839.37221327,87862488.31061739,91739433.81015448,,92009175.15224223,91082886.91688709,97398907.88228552,93186784.10369304,124165990.9942235,99177438.88826643,92771193.56906667,89473236.18582961,90094488.22922693,118391015.18451029
AT,solar,227.11204388898523,295.04817956167415,123.38668143374093,27.047131760993697,21.3728224077523,89.01820447007523,145.4939366777704,36.512282987798955,64.42627205450259,175.96677745980313,,12.662434329716774,262.069521722188,207.3369914875279,90.79766828304747,273.15857153260316,165.13799343072367,125.72230843560237,17.115073513885587,349.3092197715479,522.5361462176577
BA,OCGT,4752710.86168895,5361194.052330698,5607903.621548977,4447936.87929469,3924268.087157728,3102043.6998136826,1282855.2309041438,4683543.571482559,4230584.214825074,4104023.376642145,,4365527.572782455,4362475.654194495,5105521.606323879,5212581.091162861,4659571.0659921765,3283634.56295047,4914472.132609693,3232.7296152461395,1903605.3819028155,7065134.614555792
BA,offwind,14.499102844889684,16.57692251609534,16.1559588661065,2.790456313790584,2.4400227340270955,6.724589782786093,3.5021855289601493,4.06962496849857,5.611278941486477,17.660652476071917,,1.2264215794763003,23.26214540002507,16.263280297604954,10.256204710523603,22.769349350669884,15.350434965720027,12.353694267316728,0.7860133258687066,14.115856715265416,43.71570327246557
BA,onwind,36772343.02142666,33513217.740982536,37159510.446867466,20059788.90401689,50660388.849025995,31811426.12576173,32425000.17863858,25447975.55966556,28218338.0013684,19808414.4744374,,43342643.91686121,53293166.79738913,41819453.75582582,28777804.881940637,41787107.290258326,27077203.598606274,37688304.64531869,11989153.096121782,13075551.303113693,40160026.24395214
BA,ror,7542431.625373183,6921544.425695585,6714509.667870402,8415821.99391311,7279885.129922408,7191212.79887797,7372641.35173601,7062664.755810911,7046793.543779573,6980213.652136252,,6153140.130725918,6438115.322487775,7058016.101814013,6419239.683865791,8786403.200494464,6573580.459759542,6596360.076981036,5939469.953526315,6195796.511140663,7580884.085366268
BA,solar,253.95926179787782,396.45357484791697,273.07479890902033,50.89247599755833,29.146970843425635,117.22590239864806,120.93605696487711,75.38066418071,127.69003089037162,340.91661185771414,,29.976269488883243,609.0108282090931,508.41273133335585,212.8659999061283,669.1801647423906,374.5799497958585,315.8931489241085,64.25139119988347,615.8453032584518,1358.9387470327067
BE,OCGT,17515959.76892458,15557480.571837785,16493852.62386159,19074805.36129209,23863045.47833262,17356966.709756237,25308409.390452944,16699777.348761458,21366860.334744543,15254669.31278834,,16675407.248420972,21910451.72623117,18063472.277497157,14985739.190086076,34281718.81604816,20698227.98959005,14691586.143379562,17699619.107786756,20415228.91212948,20436376.554678623
BE,offwind,136.4537648181642,210.54216738734718,89.75921622987532,26.54312016210516,16.38486981922336,44.26161242737068,42.193755596509995,30.61750403471968,44.33916316396035,83.88570514504923,,7.462508631360463,214.50643486311327,130.77239598538867,86.20914000980686,272.5155817470584,108.97680812528553,62.97535828779318,6.979515716777559,112.57122382676934,291.2627827428123
BE,onwind,11289277.993685609,837385.0993840051,824.2642051312226,19351392.16994344,87076072.62497175,2735174.514505807,10742722.339959545,920.8008900931785,1241591.2936401626,497.85793884103737,,39.815337940731794,13958090.254089255,882198.0876617339,23989.14351218715,8975077.453536605,11381.419527708078,431.7490691263027,2742057.420880974,711.5189562784352,1321.2421730863095
BE,ror,195311.16356700726,175500.2230566075,195947.68583480554,252402.63357241265,233423.97864218673,183683.74924576143,197874.05422157305,221602.6361648489,190825.0613350782,206909.0507320263,,238852.35165287138,197158.90090888616,217866.17395682586,186265.7915692116,283264.6201586411,220703.86450312322,212807.196809297,200090.31553059985,198974.7751439671,238248.97091691647
BE,solar,50.22485625324351,67.94687650457917,40.092672647430376,6.929645588276031,5.6043384728445504,22.523078959310432,20.170752307897555,9.574281561421252,17.408980686940406,44.610145615702,,3.385979761304557,69.63547628391682,61.30892354038618,25.221652837752945,67.38366618262808,39.317337530294694,34.539659510240725,3.0363585433048885,49.89361219745897,110.61505271926987
BG,OCGT,5999596.323457129,2924279.3671186897,7783175.408117111,7507607.3550791945,4743989.846275603,172.50556373674132,772.6870779072256,4571786.594338077,4031344.806941952,309.2398864094648,,4463883.921723667,7294171.559642009,5995625.218626514,95717.34541670306,33002.1333388794,924.7758501293317,3136005.5545446766,8832.944370169886,6737177.478904917,9930056.452903127
BG,offwind,63.11952501204737,107.60050063964759,46.780381270571226,9.513058219428629,7.427619333421366,37.024776735465025,25.07022881368811,12.249390612028538,21.854666346300167,66.49818093333113,,5.042829550895119,123.35656645464468,98.16767548157051,33.96635257847693,87.2942425907479,40.15833589677567,41.67180840737583,2.459604218877165,46.05371279538466,119.96878288937131
BG,onwind,302.65371358201,482.4484361204496,220.55603772333157,35.76352291643992,353.656691760549,203.4332583000154,87.4159467544782,52.78181040458098,133.62225658873137,236.10122520618523,,43.7947096760573,15659.2391597174,581.3611143025485,134.43855505666912,616.2106745956182,229.24006025244523,241.09078832040734,9.076565365395236,234.38167515583095,543.2649509853791
BG,ror,5629992.288245986,5849471.528437109,5628200.826243375,6526845.889560746,5547680.707235535,5555405.903251426,5359042.735659556,5325921.499074437,5585291.156650671,5548318.75341749,,4447923.055089313,4304863.464292546,5078901.759189838,4891072.268699955,6071808.578326762,4455317.9682095535,4206229.605369885,4203240.156740145,3648612.702148962,4378397.7893091235
BG,solar,3201533.367317921,8353566.603312732,12837300.005035052,10614678.356714126,17972328.061084904,5668022.004532271,1675.6189363854953,11792879.38025994,11629137.513299134,7385759.602481506,,8093135.35769504,11510471.051824875,9816249.764969237,3758876.7940677353,1388169.0504089564,3850012.5028219065,7004367.561952193,1508.6404938685848,2492157.5269417074,5718574.687286168
CH,OCGT,11918712.434233345,12635305.509443652,12655952.424398992,11598791.769580841,619710.9307066617,10966908.73251271,10021850.59398352,10855801.000881482,10535787.834902257,12514969.4024261,,12617248.25620858,12240278.894081678,13545800.9847576,13605138.172453018,236515.73331079798,11624103.353671044,130221.88282818987,12351715.795090258,10880734.748228783,16496392.26003486
CH,onwind,230412252.35759002,228037299.8515696,229367977.37924784,246629069.0549844,244654033.3891063,213794537.10963202,229692198.14674538,230411002.43014207,221780051.01744974,224460093.05259407,,231276430.20862427,225571714.8750846,231862883.88242006,225627344.31835157,294276316.2761071,218892947.38698703,221147009.49212217,98843989.80623601,153252610.66757017,265802603.32665884
CH,ror,5031841.529523176,5027515.116289053,5022192.94910687,5383199.229134971,5472722.967659747,5098725.022064307,5093638.185589697,5362627.194715294,5403039.88337442,5350115.122206041,,5475196.376577424,5445774.489524339,5801839.083919371,5529762.050510734,7369683.667688379,5875711.71337641,5630040.028213499,5384266.628361091,5481681.512544106,6588150.354915219
