bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,OCGT,224.4519516646965,228.40408940598385,236.46396794195908,161.19241309831003,250.07345209796,229.4398690319412,206.91806064380546,168.6586489497395,147.54102729245983,170.5371273502807,188.4423553253825,220.82992820966578,152.79729459898397,237.27443425958808,152.65923716526314,161.5026993564218,185.4372682129184,234.51307531648902,234.48117709104972,194.7040483965311,231.73664646202602
AT,onwind,159.04402433309164,155.6674379588966,160.05150003602986,174.8631980406183,159.0515128892013,163.66122146665666,159.9924483196763,153.76138274151856,162.3021012378401,160.1369535051907,157.8123787788571,157.77567153340232,152.43186968277243,160.51041315421307,155.45137750174413,161.6782496006632,163.8771340175053,166.76118123940017,156.34821627903577,162.01137284188417,159.5579539689182
AT,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,solar,248.6697173483598,255.58954104872888,248.98516996431317,250.75141002345862,259.42887382770596,250.53133447326837,254.751879575407,253.12658552582778,243.35673386634963,258.4710608205896,258.11662842981474,256.56346991988624,264.7350197557418,257.99414106004036,265.6876139842325,261.58342780161183,259.6328582135485,264.07209361023564,264.4697232763651,260.4660866883615,268.97714802761294
BA,OCGT,204.63192895550495,201.1352650612075,222.6913121514821,152.69334648459244,192.95126751209088,129.88462459819593,115.3122109321102,157.98514645192682,169.30627376188824,155.47472515524342,110.17835860427165,179.59177625374133,138.573222974157,176.26433544107087,156.11360182667426,139.6311015663619,123.18428034909746,219.91238873077936,230.9561649502473,154.8851534614486,179.34653564395813
BA,offwind,575.8166944345829,591.0152735998848,546.8137775935857,649.3543177171141,519.8004182509532,563.730424823181,575.6505928872926,587.4572925093019,591.8472718671801,593.5003157981375,543.1998788914736,496.9985465034474,603.4125074375794,580.5397984906067,550.6585522498027,563.0882447591906,551.4203252985387,600.4794112896644,566.9774450005336,560.4778410275641,593.3649155901392
BA,onwind,172.3987073233857,176.73482008360295,176.92819687683817,193.33499253513446,174.4146509101045,177.5133124809768,172.36569005451665,171.0367505761997,165.54615533796982,176.5901289627653,179.96121812995307,181.0115690320136,176.4173237077294,170.95164857554326,170.7204913354774,179.99228795309793,175.9228559176566,178.74244816101375,172.96655745594595,181.040640030753,181.44431541255062
BA,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,solar,251.80813952905322,256.2538088754903,255.09444949115706,258.7650377913134,260.81916490593727,259.77964100069664,270.61363965275274,258.3930403565423,242.85709746578306,258.98015700560586,259.3710802384724,263.09749143188196,260.14352668159813,253.85308704087356,263.148045464444,262.91250271910707,253.40419590304484,254.6070592277978,253.02151113833935,257.57410209221433,262.23593227997577
BE,OCGT,180.39415418098764,220.80023829703293,225.45817774449912,189.613151969951,217.70761783719365,221.61977657869403,191.0776503465482,211.52048629357145,202.27142796847693,187.58951305354296,196.61297322155687,202.74944942093532,183.77217934080986,202.56557832890164,225.9171771703915,243.7816414200869,202.38138531139927,205.08601088754583,190.46976269666297,216.34038673128808,197.0075428012908
BE,offwind,296.12661314474013,304.64684674722486,303.7510126247959,312.5424358453471,297.9853653286155,289.970069340632,313.9084898006034,313.7567521317196,294.93755891321547,289.723829594676,290.2542525594524,278.32530859623824,286.81933335794633,290.79858957249184,289.30804732514576,277.4929807298899,288.8199838406759,306.55452097276674,283.2560658967739,287.7356928053667,292.19580386403095
BE,onwind,185.58878571789617,189.32427249940895,197.0700727376348,231.91566734349132,202.25395307449833,191.55423311076046,239.99895063716465,197.86906690347047,216.38807626551065,198.47223062673976,209.7140265259744,194.96736392292547,183.1678655086033,226.40296256157228,204.84139515675713,190.4689266884459,229.79701631677239,239.59094196199703,187.2960873773131,212.50469302786777,190.32819880812997
BE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,solar,327.3267944407205,341.5991430939001,318.93850296015944,335.126422965334,331.9619959788032,317.3904404531527,325.6116688202446,330.13592122664994,330.30076218265526,336.396364611976,332.24316226112757,334.4865357450884,350.06535870958567,329.6477006182215,353.93324540862096,340.79562425520277,333.2787147686334,348.2163241521923,340.50987918289525,340.76873603302994,353.330480194762
