bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
AT,OCGT,105.39657524521178,155.57246867901085,254.1918525731355,250.80368000095936,198.26115884730356,234.03073974451672,147.49511859960725,199.77785149085148,190.3746561418371,154.9192923393685,212.915246926968,205.85127404578677,153.4174932932778,232.55033413817017,161.5345935359314,215.69793789342359
AT,onwind,159.63000200803873,151.086220824047,161.1542592071329,158.9254472101905,158.6698759768523,161.95439550454077,161.88040168078032,168.59437732906508,163.99649843106673,156.6033763834406,173.16320041761065,155.29014592461715,171.44940507344296,170.434359293944,174.14057797980868,171.60356189322854
AT,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,solar,248.01768291293888,254.4782725188622,243.76904879704315,248.725010017659,257.28533167294717,256.6851356315729,258.72740834829233,251.80410008837825,256.97455801724846,257.6365087109701,255.11587573729182,258.15528413176656,266.34351550160244,263.66584377894634,263.38153006140175,260.8351421786295
BA,OCGT,115.74267389494955,108.75455879712767,188.71245789582315,159.69230954128423,169.0491104519227,197.95442252432792,114.02787934704963,168.8951823048348,124.12692103741296,135.17057188435518,160.09771181279527,138.43625420439162,151.59098728254057,173.50474343013565,149.2064351439573,119.58836494109609
BA,offwind,589.6704358034472,638.4658827920903,626.5121042889471,554.7048502098911,622.15469564434,597.0105690276729,652.2433642024965,633.3202767004093,598.5575770991825,629.7086123141704,593.2169713334391,625.9694899627979,627.3881829103585,636.3296618599439,604.8283091920804,523.3954755181095
BA,onwind,183.63930268674838,184.8388917372297,192.0141924612718,184.52767323671569,185.06471532326736,194.20478305359333,191.8572934498842,203.9174569559562,190.83115875920927,189.93190394859326,199.74742684037483,182.95197620312095,196.26808710282245,204.01659133267677,195.6004915714083,198.01920585233938
BA,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,solar,237.2024223932855,258.3618172107014,244.8586128798993,248.54467147883366,251.01004936096766,254.3126708543203,256.3434395333918,251.04011150513168,250.72016566621056,251.0874530686827,250.1477462050584,249.02364473405817,258.78366725422086,252.3238386970893,255.59773092016948,257.5097181230479
BE,OCGT,178.450238159886,183.68209338416787,242.22673701824283,216.84484430606656,205.18075428417976,191.85664799740064,208.7535267314266,186.40826197964384,189.03692638633325,186.9104342482951,195.71443736111559,201.0035116430143,191.0595258056989,207.36469832749955,230.98995360961905,192.71384796504643
BE,offwind,278.18170531444713,298.4541268867729,278.8104250540249,276.9419693630656,293.83656413055064,280.59413957044575,265.9140501199091,288.52805961598165,283.6369650875997,286.4708657213662,283.9587387777599,273.93861595115567,288.13113449962344,289.40507521127915,312.15570287649376,275.73656506022644
BE,onwind,199.50683299742124,168.98292062063504,195.95539596839546,184.9462187909281,197.6743971599619,187.99911485940208,175.99343998247252,198.875821732594,186.64751085194186,214.86055526894762,214.49564416729334,184.35593826281618,212.91615707404435,195.77761520667283,251.1494876786583,211.7554798646762
BE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,solar,346.1076331060251,340.70637556003095,327.1793018644955,326.2579992829171,332.82782138060065,344.15446924197516,351.99454048045277,327.3329262805256,342.3288130429474,346.29499710241294,342.1317225691525,360.6511254505509,338.86414525675355,345.35716630259685,326.23668796609445,326.17479096807745
BG,OCGT,113.87548961917113,133.35368783575103,223.88997819658212,160.36395186551732,142.92675006647923,151.56248226610586,175.39914423386557,206.90085779088332,107.34196594043179,122.87953611433981,109.83241677065797,153.54612328064894,115.81488824540087,229.2577690332838,166.61999625598577,103.70154439475581
BG,offwind,392.04187744840834,408.12357264492607,373.5194792768623,392.33190004025465,396.24468404626623,416.551424952236,417.3967313247395,369.05645963738255,399.26730204703404,406.9280409346117,407.5497151765319,395.70450844777616,423.6352782452253,404.27408968911885,399.15244674853295,409.4327441507148
