bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
AT,OCGT,296.45628634781855,225.72016198582844,238.74239269176263,304.1058562232808,134.7164827011672,218.36407814057415,195.35813437752722,211.45113852303962,179.02050374119335,197.09963863819374,197.768222617677,264.85431746966236,264.0750468703286,258.2294166282767,159.74825243087528,213.31546983897428,179.36075104951533,186.3092881246029,190.75949427463982,222.98083625706454
AT,onwind,159.5076309803577,156.0813185923692,157.08919145771014,148.82852138898562,150.37018942448628,167.62580551071258,160.48666905897545,157.57675440348532,160.36262954100653,161.42745003219588,156.73466429727563,157.8980871988297,156.17880257404968,160.6199553191571,162.08326728388298,163.13591691220157,162.93137973540402,164.15711963991822,173.77136095753048,159.43025383339938
AT,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,solar,251.57950876915532,253.22998300947754,261.3685053136713,262.0592543520082,262.26888537935815,257.51619479773194,253.38052102977267,264.3462766886189,257.5262633584247,271.5816801917119,265.60369985202976,265.08985446353364,270.52814881567474,263.31559640276714,274.09562637608883,271.8081601374858,275.4825805737525,271.7415054661759,270.9799185891488,278.27057720053045
BA,OCGT,186.3586842322385,177.51951257308355,190.76256725335878,202.15506018105415,137.10885083337678,148.88567519657585,108.48611213140076,171.22432050914074,131.73884087174295,162.70899637228683,143.96336111115707,160.90014405029734,156.77838510358166,161.49958204397805,134.1778235993661,120.13633333009149,156.49834276387085,105.71153858356288,121.8331176693318,179.70450014457035
BA,offwind,529.8142484217898,606.9524201882335,547.025606955301,573.7360766891095,566.2221837848119,522.3679586230662,575.7209813021113,579.2033939895908,587.650943773951,621.9589876648181,591.7961690545058,592.8743673859772,583.5524312792941,502.26800862159644,558.0861694956398,559.0199145521735,559.0761260412816,595.0745034923572,599.7460870273941,515.3794277470176
BA,onwind,175.57204167858663,175.22969382050306,179.80842282889867,180.7478765965528,176.55516781423214,191.35841456392805,182.17227009520488,182.0911384497936,184.37983891705963,187.71404834422557,184.17526830460605,177.56821078546935,173.8529106962027,175.5101820994914,186.20878372031888,182.36142936416798,181.39088270009873,198.27391014876653,204.49019074403478,176.23310469446133
BA,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,solar,253.8830382048641,250.53266842464134,255.77284379463742,253.16252440589398,255.9075218072843,253.2254758792772,249.91098375482733,252.60683816202788,251.2959772844893,262.1384437171277,252.82260155751956,250.30302789209063,255.6656551035506,252.58003701263647,262.22808011894733,257.7788375679175,262.45843434893,257.4359324273485,258.96401898963694,262.098359777971
BE,OCGT,221.3294110801701,199.70097912046657,214.29028848865275,221.11637588925464,179.92455095401203,182.75453267415568,221.41130745100887,209.28265505062706,226.62796426312627,214.51056871243279,203.41435435528487,220.5545667879429,219.23547301679372,201.67361451899038,230.3812730593922,203.83619581031704,169.55963546310238,191.54996876057658,225.7419519593576,199.0119345797769
